# minor-sublime-words · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 06869124b258cf64d57ff32c5a09fec1b73522f079f6687c29649e759af9ee8f
# title: 至美之言
# nav_label: 至美之言
# description: 至美之言（Sublime Words），石顶小秘宝：乌斯特里纳所传的熔炉领主之言，用一季工艺做出真正的美。
PAGE	533
H3	一个探矿人的故事
P	“一个乌斯特里纳曾经给我看一面镜子，一件镶金的无瑕之物。它映出<i>我</i>，但……更好的我，懂吗？他们说是谁做的，我想是熔炉领主之一？说她‘把至美之言灌注进去’，管那是什么意思。我付不起他们的价。但我永远忘不了那面镜子，以及它让我有的感觉。”
P	那个老人后来死了，但你怀疑他的故事有些真。要解开它的奥秘，你必须……
C	……精通某种技艺或行当（陶艺、纺织、锻造等）。
C	……找到一个有能力且愿意教你至美之言的乌斯特里纳。
C	……花上一季跟乌斯特里纳学习，练习这些言。
C	……有永远掌握不了这些言、或永久伤害嗓音的风险。
H3	至美之言
P	◇ 沙哑嗓音，◇ 咳嗽发作，◇ 哑
P	当你<b><i>花费补给品（价值2）并花上一整</i></b>
P	<b><i>季做工艺，自始至终吟诵至美之言</i></b>
P	<b><i>，</i></b>掷 +WIS。无论如何，你的嗓音受损（标记上面一项状态），但做出一件真正美丽之物（价值4）。<b>10+</b>，选1项，或选2项并进一步损伤嗓音；<b>7-9</b> <b></b>，选1项并进一步损伤嗓音。
B	它的美将历经诸纪而不衰
B	它减轻疼痛、提起悲伤
B	它激励他人变得更好
P	<b>6-</b>，它在看见它的人心中煽起贪婪，在拥有它的人心中煽起恐惧，若这些品质本已存在则更糟。等着流血吧。
P	当你<b><i>让嗓子休息一季</i></b>（不喊、少说话、不用至美之言）时，清除上面一项状态。
P	52
