# minor-ward-of-still-waters · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 197890ea2cfde61af3bd61249dd48a901e3e1e3585a461aa576eb0fa562368f1
# title: Garde des eaux dormantes
# nav_label: Garde des eaux dormantes
# description: La Garde des eaux dormantes (Ward of Still Waters), arcane mineur : un bassin des collines qui détourne la magie mentale vers ses eaux tranquilles.
PAGE	514
H3	Un bassin clair et naturel
P	Haut dans les collines, un ruisseau de fonte des neiges remplit un profond bassin dans la roche avant de poursuivre son cours. Au fond du bassin se trouve un vaste dépôt de pierre d'aimant. De vieilles lames rouillées (beaucoup taillées pour des géants) s'y voient accrochées.
P	Il y a de la magie ici ; pour en percer les secrets, soit...
C	… passe une semaine ou presque à expérimenter au bassin, puis lance +INT : <b>sur un 10+</b>, tu comprends ; <b>sur un 7-9</b>, pas de chance ; <b>sur un 6-</b>, un danger t'interrompt ; ou...
C	… obtiens un témoignage de première main des pouvoirs du bassin à l'œuvre.
P	front 14 back Commence à 13
H3	Garde des eaux dormantes
P	Effort : ◇◇◇◇◇◇◇
P	Quand tu <b><i>te coupes avec du fer ou de l'acier et jettes</i></b> <b><i>le métal ensanglanté dans le bassin</i></b>, tu formes un lien avec les eaux. Tant que tu portes sur toi une fiole de l'eau du bassin, tu es protégé par la garde des eaux dormantes.
P	Quand tu es ainsi protégé et <b><i>soumis à une magie</i></b> <b><i>qui tente de percevoir ou d'affecter tes pensées,</i></b> <b><i>tes actions ou tes émotions</i></b>, la magie cible à la place les eaux dormantes du bassin — déconcertant peut-être la source de la magie.
P	Chaque fois que la garde des eaux dormantes te protège, marque 1 Effort puis lance 1d6. Si ton résultat est inférieur à ton Effort actuel, l'eau que tu portes perd sa vertu. Quand tu <b><i>retournes au bassin</i></b> <b><i>et renouvelles ton lien</i></b>, efface tout ton Effort.
