# minor-ffyrnig-tonic · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 0913f5061658f0fcb9c447c7ba1526ce830d30ab3beb5eff7f042c5afd2bcf85
# title: フュルニグの強壮薬
# nav_label: フュルニグの強壮薬
# description: フュルニグの根の強壮薬の調合法を記した木の球、小アルカナム（Ffyrnig Tonic）。
PAGE	513
H3	巨大な木の球
P	<i>動かせない</i>
P	半ば埋もれ、大部分が草木に覆われている。差し渡し約4フィート、重さは数百ポンドある。
P	奇妙なほど保存状態がよく、入り組んだ絵文字で飾られている。近くには他にもいくつかの球が朽ちている。
P	絵文字は何かの調合法を描いており、あなたはそれを学ぶことができる。だがそのためには……
C	……まず球を掘り出して清めねばならない。
C	……数週間、象形文字を研究せねばならない。
C	……新鮮なフュルニグの根を手に入れねばならない。
C	……野生の猪の胆汁を手に入れねばならない。
P	そして……
C	……調合を誤る危険を冒す。命に関わるほどに。
H3	フュルニグの強壮薬
P	<b><i>新鮮なフュルニグの根を猪の胆汁の溶液に満月2回分の間漬け込む</i></b>と、それはフュルニグの強壮薬の革袋ひとつ（使用3、<i>魔法</i>）になる。
P	<b><i>フュルニグの強壮薬をひと口飲んだ</i></b>とき、1つ選ぶ：
B	最大HPの½に等しいHPを回復する
B	衰えを1つ回復する
P	さらに、大胆な肉体的行動をとる次のロールに有利を得る。だがそうした行動をとるまでは、
P	忍耐、慎重さ、思慮深さを要するロールすべてに不利を受ける。
P	<b><i>ぐっすりと一晩眠る前に</i></b><b><i>フュルニグの強壮薬を2口目飲んだ</i></b>とき、気分が悪くなる（衰えを1つマークする）以外に何の効果もない。
P	12
