# minor-aetherium-spear · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 9d296a21c043dc11a04b767f26642e6653376d601794f8e5b0ae559f16370d3b
# title: 以太矿矛
# nav_label: 以太矿矛
# description: 以太矿矛（Aetherium Spear），石顶小秘宝：一枚锈蚀的矛头，充入雷电后可在短兵相接中轰出闪电。
PAGE	531
H3	一枚锈蚀的矛头
P	◇ <b>，</b> <i>魔法</i>
P	藏在某座金库、洞穴或匠造者废墟里的一截铜，严重锈蚀，覆着大块铜绿。你眯着眼看，隐约能看出矛头的形状。
P	哦，那些是符文的淡痕吗？
P	要解开这件古兵器的秘密，你必须……
C	……用合适的药剂小心清除锈蚀，同时不毁掉符文。
C	……辨读符文，以及它们该如何充能。
C	……把修复好的矛头灌注闪电。
C	……把矛头装上桦木矛杆。
C	……把矛头浸入你自己的血，宣称其力量为你所有。
H3	以太矿矛
P	◇，<i>近战</i>，<i>投掷，魔法，</i> +1伤害
P	当你<b><i>用以太矿矛短兵相接并</i></b> <b><i>得到7+</i></b>时，你可以标记一项衰弱，以闪电轰击敌人，造成+1d6伤害（<i>强力</i>，<i>响亮</i>）。
P	当你把以太矿矛指向敌人并发出雷鸣般的战吼时，标记一项衰弱，放出一道闪电（<i>远距</i>，<i>范围</i>，<i>强力</i>，<i>响亮</i>，<i>危险</i>），掷 +STR 来放箭而非 +DEX（且你不能选择耗尽弹药）。<b>6-</b>，除GM所说的其他事外，矛头力量耗尽，桦木矛杆化为灰烬——清除此卡正面最后3个勾选格。
