# minor-the-brooms-lullaby · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 4e2e4464381576f074f5685ab18163fba5646fc1ad6c5d826787c29f45fc9a8b
# title: La Nana de la Escoba
# nav_label: La Nana de la Escoba
# description: La Nana de la Escoba (The Broom's Lullaby), arcano menor de Stonetop: una humilde escoba de serbal cuya nana, cantada mientras barres, embelesa y adormece a quien la oye.
PAGE	537
H3	Una humilde escoba
P	◇, <i>mágico, tosco</i>
P	No es más que un palo de serbal muy gastado al que le hacen falta cerdas nuevas. No le dedicarías ni un segundo pensamiento. Salvo que... cuando la sostienes y barres con ella, te sorprendes tarareando una melodía medio olvidada.
P	Está claro que esta escoba esconde más de lo que parece. Para desentrañar sus misterios, debes...
C	… encontrar a un Fae que pueda oír la canción de la escoba entera.
C	… convencerlo de que te enseñe la canción de la escoba completa.
C	… usar la escoba al menos una vez al día durante toda una estación, cantando la nana mientras lo haces.
C	… arriesgarte a caer en un sueño duradero e intemporal mientras practicas la nana.
H3	La Nana de la Escoba
P	<i>mágico, área, próximo</i>
P	Cuando <b><i>empiezas a barrer una zona mientras cantas</i></b> <b><i>la nana en voz baja</i></b>, tira +CHA: <b>con 7+</b>, quienes te ven y te oyen se detienen a mirar y escuchar, al menos un rato, embelesados, confusos o perplejos según su naturaleza y las circunstancias. Salen del trance si se les daña o amenaza. <b>Además,</b> <b>con 10+</b>, puedes mantener su atención mientras dure la nana, siempre que nadie resulte dañado o amenazado.
P	Cuando <b><i>cantas la nana completa, barriendo</i></b> <b><i>todo el rato</i></b>, tira +CHA: <b>con 10+</b>, todos los que te oyen caen en un sueño profundo y tenderán a descartarlo como un simple sueño; <b>con 7-9</b>, todos los que te oyen empiezan a dar cabezadas o caen en un sueño ligero y agitado, pero sin duda lo recordarán cuando despierten; <b>con 6-</b>, al menos uno de tus oyentes vuelve en sí y se da cuenta de lo raro que es todo esto.
P	60
