# minor-thunderous-bellow · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: O Bramido Trovejante
# nav_label: O Bramido Trovejante
# description: O Bramido Trovejante (Thunderous Bellow), arcano menor de Stonetop: um feitiço gravado numa placa de bronze que transforma a sua voz no estrondo da tempestade primordial.
PAGE	510
H3	Uma placa meio enterrada
P	◇◇, <i>volumoso</i>, <i>mágica</i>
P	Uma placa de bronze despontando do solo, em algum lugar das Planícies ou perto do Rio do Pavor. Está amassada, um pouco empenada, com runas dos Construtores e diagramas esotéricos gravados na superfície. Como diabos ela foi parar aqui?
P	A placa contém o funcionamento de um feitiço, que você pode aprender, mas…
C	… primeiro precisa desenterrar & limpar a placa.
C	… precisa decifrar as runas dos Construtores.
C	… levará algumas semanas de estudo.
C	… você arrisca danificar sua voz, sua audição e/ou seus vizinhos enquanto pratica.
H3	O Bramido Trovejante
P	Quando você <b><i>canaliza a tempestade primordial e solta</i></b> <b><i>um bramido trovejante</i></b>, sofra 1d6 de dano (ignora armadura) e role +CON: <b>com 10+</b>, todos por perto (menos você) precisam escolher 2; <b>com 7-9</b>, todos por perto (menos você) precisam escolher 1.
B	Largar o que estiverem carregando e tapar os ouvidos
B	Ficar surdos e desorientados por alguns instantes
B	Cambalear alguns passos para longe de você 6
