# playbooks-inserts · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: b5f63a812c8d258938c0132fac0efef73807f2f060e6fe906f50175eb5474404
# title: Livretos e Encartes
# nav_label: Livretos e Encartes
# description: Os nove livretos de personagem de Stonetop e seus encartes, e o livreto do Mestre no playkit.
PAGE	104
P	<b>Este capítulo é dirigido aos jogadores, mas</b> <b>os Mestres também deveriam lê-lo!</b>
P	O conteúdo deste capítulo está disponível em
P	PDF num playkit para download em www.lampblackandbrimstone.com. Ele está aqui para consulta, não para uso durante o jogo.
H2	Livretos
P	Quando você cria um PJ para <i>Stonetop</i>, a primeira coisa que faz é escolher seu livreto.
P	Cada livreto traz um conjunto de escolhas, deixas e opções que apontam para um arquétipo específico de personagem, deixando espaço para tornar seu personagem único.
P	Seu livreto também serve de ficha de personagem. Você o usa para acompanhar os atributos, as debilidades, os HP e os XP atuais, os movimentos do seu PJ e assim por diante. Os livretos foram feitos para ser impressos frente e verso e dobrados ao meio, formando um livrinho.
P	Os nove livretos padrão são:
B	<b>O Abençoado</b> (página 105)
B	<b>A Raposa</b> (página 109)
B	<b>O Brutamontes</b> (página 113)
B	<b>O Juiz</b> (página 117)
B	<b>O Portador da Luz</b> (página 121)
B	<b>O Marechal</b> (página 125)
B	<b>O Patrulheiro</b> (página 129)
B	<b>O Buscador</b> (página 133)
B	<b>O Aspirante a Herói</b> (página 137) Para uma explicação de cada parte de um livreto de PJ, veja <b>Seu personagem</b> (página 50), no capítulo anterior.
P	Cada PJ também tem pelo menos um <b>encarte</b>. Os encartes padrão também estão neste capítulo, a partir da página 141.
H2	O Mestre também tem um livreto
P	Quando você baixa o playkit em lampblackandbrimstone.com, encontra também um PDF do livreto do Mestre, uma coletânea de regras, mapas e ferramentas para o Mestre consultar rapidamente durante o jogo e a preparação. É um resumo de conteúdo que está em outras partes deste livro e do <i>Livro II</i>, e por isso não foi incluído neste capítulo.
P	Quando você tiver dúvidas sobre movimentos específicos ou outros elementos de um livreto (como funcionam, o que exatamente __ significa, o que conta como "uma criatura das trevas" etc.), converse com o Mestre e com os outros jogadores. Pense no que já foi estabelecido ou sugerido e resolvam juntos.
P	Não se surpreenda se o Mestre devolver essas perguntas para você. "Bom, o que <i>você</i> acha que conta como uma criatura das trevas?"
P	Isso não é uma armadilha nem um truque! É um convite para você <b>ajudar a criar o mundo</b>. Responda com o que lhe parecer óbvio ou interessante. Só esteja preparado para que essa resposta tenha implicações duradouras sobre como o movimento funciona no seu jogo!
