# minor-fetchs-mask · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 566d48f52a56fa1adc910531afb21c47654fba3f9188395f841cc6d6af9ed4ab
# title: Doppelgängermaske
# nav_label: Doppelgängermaske
# description: Doppelgängermaske (Fetch's Mask), ein kleines Arkanum aus Stonetop: eine wächserne Maske, die dich in das makellose Ebenbild eines anderen verwandelt.
PAGE	529
H3	Eine verstörende Maske
P	◇, wenn verstaut; <i>magisch</i> Diese steife, lederartige Maske sieht ein wenig aus wie geschmolzenes Wachs. In die Stirn ist eine große, perlmuttschimmernde Kugel eingelassen. Sie scheint zu flüstern, wenn du dich anschickst, sie aufzusetzen.
P	In dieser Maske steckt mehr, als man auf den ersten Blick sieht. Um ihre Geheimnisse zu entschlüsseln, musst du …
C	… die Maske aufsetzen, während du allein bist, und sie eine Nacht und einen Tag lang ungesehen tragen.
C	… jemanden ein paar Stunden lang unbemerkt beobachten, während du die Maske trägst.
C	… der Maske ein Geheimnis verraten, etwas, das niemand sonst über dich weiß (sag der SL und den anderen Spielern, was es ist).
C	… der Maske das Geheimnis eines anderen verraten, etwas, von dem du versprochen hast, es nie zu erzählen (sag der SL und den anderen Spielern, was es ist).
H3	Doppelgängermaske
P	Kunde ◇◇◇
P	Wenn du <b><i>die Maske trägst und Haar, Blut, Fingernagel</i></b> <b><i>o. Ä. von jemandem isst</i></b>, werdet du und die Maske bis zum nächsten Sonnenaufgang oder bis du die Maske abnimmst zu seinem makellosen Ebenbild.
P	Wenn du <b><i>mit einem NSC zu tun hast, der denjenigen kennt,</i></b> <b><i>dessen Antlitz du trägst</i></b>, würfle +CHA: <b>bei 10+</b> halte 3 Kunde; <b>bei 7-9</b> halte 1 Kunde; <b>bei 6-</b> ist er zutiefst misstrauisch. Während du mit ihm zu tun hast, gib Kunde 1 zu 1 aus, um die SL zu fragen:
B	Was erwartet er von mir zu tun/zu sagen?
B	Was erhofft/will er von mir?
B	Welches Geheimnis verberge ich vor ihm?
P	Wenn du <b><i>die Maske abnimmst, nachdem du</i></b> <b><i>jemandes Antlitz getragen hast</i></b>, würfle +CON: <b>bei 10+</b> tut es weh, geht aber gut ab; <b>bei 7-9</b> ist dein Gesicht wund und schmerzt, kreuze eine Schwächung an; <b>bei 6-</b> verliere 1d4 HP, kreuze eine Schwächung an, und die Maske hinterlässt bleibende, unverwechselbare Narben.
