# minor-the-brooms-lullaby · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 4e2e4464381576f074f5685ab18163fba5646fc1ad6c5d826787c29f45fc9a8b
# title: A Canção de Ninar da Vassoura
# nav_label: A Canção de Ninar da Vassoura
# description: A Canção de Ninar da Vassoura (The Broom's Lullaby), arcano menor de Stonetop: uma vassoura humilde cuja canção prende a atenção de quem ouve e embala todos num sono profundo.
PAGE	537
H3	Uma vassoura humilde
P	◇, <i>mágica, rústico</i>
P	Só um cabo bem gasto de sorveira, precisando de cerdas novas. Você não pensaria duas vezes nela. A não ser... que, quando a segura e varre com ela, se pega cantarolando uma melodia meio lembrada.
P	Claramente, há mais nesta vassoura do que se vê. Para desvendar seus mistérios, você precisa...
C	… encontrar um Fae capaz de ouvir a canção da vassoura por inteiro.
C	… convencê-lo a lhe ensinar a canção da vassoura por completo.
C	… usar a vassoura ao menos uma vez por dia durante uma estação inteira, cantando a canção de ninar enquanto varre.
C	… arriscar cair num sono duradouro e fora do tempo enquanto pratica a canção.
H3	A Canção de Ninar da Vassoura
P	<i>mágica, área, próximo</i>
P	Quando você <b><i>começa a varrer uma área enquanto canta</i></b> <b><i>baixinho a canção de ninar</i></b>, role +CHA: <b>com 7+</b>, quem o vê e ouve para para assistir e escutar, ao menos por um tempo, enlevado, confuso ou divertido, conforme a natureza de cada um e as circunstâncias. Eles saem do transe se forem feridos ou ameaçados. <b>Além disso,</b> <b>com 10+</b>, você consegue prender a atenção deles por toda a canção, desde que ninguém seja ferido ou ameaçado.
P	Quando você <b><i>canta a canção inteira, varrendo</i></b> <b><i>o tempo todo</i></b>, role +CHA: <b>com 10+</b>, todos que o ouvem caem num sono profundo e tenderão a descartar isso como apenas um sonho; <b>com 7-9</b>, todos que o ouvem começam a cochilar ou caem num sono leve e sobressaltado, mas com certeza se lembrarão disso quando acordarem; <b>com 6-</b>, pelo menos um dos ouvintes desperta e percebe o quanto tudo isso é estranho.
P	60
