# minor-the-tomb-bogs-mark · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 0a5ce5a9e855707c25f6e8619c195ec33d68d866df7b67265204986bbdb87ba2
# title: 冢沼印记
# nav_label: 冢沼印记
# description: 冢沼印记（The Tomb-bog's Mark），石顶小秘宝：泽畔附近的泥炭冢，用阿拉蒂斯的印记给罪人立誓咒。
PAGE	511
H3	一座阴森的泥炭冢
P	离泽畔不远，往费里尔沼泽里走一段，有一座泥炭冢，鸟不筑巢，花不开放。自镇子建立以来，泽畔的人把某些罪犯活埋在这里。
P	这些年来，这片地生出一缕精魂，饥渴于被定罪者临终的气息（<i>第二卷</i>，page 85）。它年轻而热切，可以被用来对付罪犯，但只有当你……
C	……找到与它交流的办法。
C	……说服它你只会用它的印记去定罪有罪之人。
H3	冢沼印记
P	当你<b><i>用冢沼的泥给某人标上</i></b> <b><i>阿拉蒂斯的印记并宣告</i></b> <b><i>他们犯了罪</i></b>时，你可以给他们立一道誓咒。用下列之一来措辞：
B	你永不得再____。
B	从此以后，有机会时你必须总是设法____。
P	若他们<b><i>未能遵守誓咒</i></b>，他们的命就没了，冢沼精魂会追踪他们并把他们闷死。
P	若他们<b><i>向冢沼精魂证明自己无辜</i></b> <b><i></i></b>，你的命反而没了。
P	8
