# minor-witch-bottle · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 0a755a37d2a63ad9f22cec31ed926311d84c439d53ce30f00859b0c7d16d609c
# title: 巫瓶
# nav_label: 巫瓶
# description: 巫瓶（Witch Bottle），石顶小秘宝：一只银色条纹玻璃瓶，用头发与旧物对某人持有摆布。
PAGE	529
H3	一只银色玻璃瓶
P	◇，<i>易碎</i>，<i>魔法</i>
P	大约10英寸高，顶部收细，旧而扭曲的玻璃做成，贯穿银色条纹，像蛞蝓留下的痕迹。玻璃里的纹样每次看似乎都不同，几乎在你注视时移动。它让你眼睛发酸，头晕。
P	你可以解开这只旧玻璃瓶的秘密，但必须要么……
C	……找到一个知其运作的人，让他们教你；要么……
C	……用泉水和致幻蘑菇装满瓶子，在暗处浸泡两周。
C	……喝下内容，有在疾病与噩梦中什么也学不到的风险。
H3	巫瓶
P	摆布 ◇◇◇
P	当你<b><i>把某人的几缕头发绕在</i></b> <b><i>一件他们制作或拥有过的物品上，点燃，</i></b> <b><i>趁仍在燃烧时丢进空瓶，</i></b>对他们持有3点摆布。灰烬会继续燃烧发光，直到摆布用尽。花费1点摆布，同时说出他们的真名，来……
B	扭曲他们的感官，让他们感知不实之事
B	用噩梦折磨他们，直到他们在雨或雪中洗净
B	让他们心中的一种情绪膨胀，可能压倒他们
P	若你当前持有摆布的那人找到并打破巫瓶，你自己会遭受你曾用它施加的一切折磨。
P	44
