# minor-sigil-of-authority · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 9fb537b74cbb2de4a1e813a21de809cd962a474839fb4f8b02e6d33088e903eb
# title: O Sigilo da Autoridade
# nav_label: O Sigilo da Autoridade
# description: O Sigilo da Autoridade (Sigil of Authority), arcano menor de Stonetop: um anel-sinete que troca a lealdade dos seus seguidores por uma majestade que ninguém consegue ignorar.
PAGE	535
H3	Um anel-sinete prateado
P	<i>mágica, bela</i>
P	Um anel de metal branco, sem manchas e reluzente, com um único glifo entalhado no engaste. O símbolo se contorce sob o seu olhar, como se existisse em mais dimensões do que você consegue perceber. O anel serve perfeitamente em você, é claro.
P	Para desvendar os mistérios do anel, você precisa...
C	… passar uma estação usando o anel e contemplando o glifo.
C	… acostumar-se com as dores de cabeça & náuseas que vêm de usar o anel.
C	… gastar 1 de Lealdade de um seguidor seu para carregar o anel.
C	… tentar influenciar um dos seus seguidores com o anel, correndo o risco de nunca dominar seu poder e/ou de afastar seu(s) seguidor(es).
H3	O Sigilo da Autoridade
P	Autoridade: ◇◇◇
P	Quando você <b><i>Fortalece o Vínculo</i></b> com um membro da sua comunidade, pode escolher guardar
P	+1 de Autoridade (máx. 3) em vez de seu seguidor guardar +1 de Lealdade. Se você <b><i>tirar o anel</i></b>, perca toda a Autoridade.
P	Quando você <b><i>Persuade seu(s) seguidor(es) enquanto guarda Autoridade</i></b>, tem vantagem.
P	Você pode gastar Autoridade, 1 por 1, para:
B	Envolver-se em majestade por até alguns minutos, atraindo toda a atenção, intimidando os de vontade fraca e falando com uma voz que todos conseguem ouvir (<i>longe</i>, <i>área</i>)
B	Impor sua vontade a alguém na sua presença para que faça o que você quer, tentando Persuadi-lo sem palavras
B	Fazer com que um dos seus seguidores por perto sofra um ataque em seu lugar, como se guardasse Prontidão por ter Defendido
