# minor-sublime-words · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 06869124b258cf64d57ff32c5a09fec1b73522f079f6687c29649e759af9ee8f
# title: Wzniosłe Słowa
# nav_label: Wzniosłe Słowa
# description: Wzniosłe Słowa (Sublime Words), mniejsze arkanum: pieśń Ustrinów, która w zamian za twój głos tchnie w rękodzieło prawdziwe piękno.
PAGE	533
H3	Opowieść poszukiwacza złóż
P	„Pewien Ustrin zaoferował mi kiedyś lustro, rzecz bez skazy w złotej ramie. Pokazywało <i>mnie</i>, ale… lepszego mnie, rozumiesz? Powiedział, kto je zrobił, jedna z Władców Kuźni, zdaje się? Mówił, że »wlała w nie swoje Wzniosłe Słowa«, cokolwiek to znaczy. Nie mogłem zapłacić jego ceny. Ale nigdy nie zapomnę tego lustra ani tego, co przy nim czułem”.
P	Staruszka znaleziono martwego, ale podejrzewasz, że w jego opowieści tkwi ziarno prawdy. Aby odkryć jej tajemnice, musisz…
C	… biegle władać jakąś sztuką lub rzemiosłem (garncarstwem, tkactwem, kowalstwem itp.).
C	… znaleźć Ustrina, który zdoła i zechce nauczyć cię Wzniosłych Słów.
C	… spędzić porę roku na nauce u Ustrina, ćwicząc Słowa.
C	… zaryzykować, że nigdy nie opanujesz Słów albo trwale uszkodzisz sobie głos.
H3	Wzniosłe Słowa
P	◇ zachrypnięty głos, ◇ napady kaszlu, ◇ niemowa
P	Gdy <b><i>zużyjesz zapasy (Wartość 2) i spędzisz całą</i></b>
P	<b><i>porę roku na rękodziele, intonując przy tym</i></b>
P	<b><i>bez przerwy Wzniosłe Słowa,</i></b> rzuć +WIS. Tak czy inaczej uszkodziłeś sobie głos (zaznacz stan powyżej), ale stworzyłeś rzecz prawdziwie piękną (Wartość 4). <b>Przy 10+</b> wybierz 1 albo 2 i dalej uszkodź sobie głos; <b>przy</b> <b>7–9</b> wybierz 1 i dalej uszkodź sobie głos.
B	Jej piękno przetrwa wieki
B	Łagodzi ból i koi żal
B	Natchnie innych, by stawali się lepsi
P	<b>Przy 6-</b> budzi chciwość w tych, którzy ją widzą, i lęk w tych, którzy ją posiadają – tym gorsze, jeśli te przywary już w nich były. Spodziewaj się rozlewu krwi.
P	Gdy <b><i>dajesz głosowi odpocząć przez porę roku</i></b> (bez krzyku, niewiele mówienia, bez używania Wzniosłych Słów), usuń jeden stan powyżej.
P	52
