# minor-ward-of-still-waters · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 197890ea2cfde61af3bd61249dd48a901e3e1e3585a461aa576eb0fa562368f1
# title: 静水结界
# nav_label: 静水结界
# description: 静水结界（Ward of Still Waters），石顶小秘宝：山中一汪天然池，用铁与血结契，把心灵魔法转给静水。
PAGE	514
H3	一汪清澈的天然池
P	丘陵高处，一道融雪溪流在岩石中注满一口深池，然后继续流。池底有一大块磁石。可以看到锈蚀的旧刃（许多是巨人尺寸）吸附在磁石上。
P	这里有魔法；要解开它的秘密，要么……
C	……在池边花大约一周试验，然后掷 +INT：<b>10+</b>，你弄明白了；<b>7-9</b>，没运气；<b>6-</b>，你被危险打断；要么……
C	……得到池之力量被使用的第一手描述。
P	正面 14 背面 起始为13
H3	静水结界
P	张力：◇◇◇◇◇◇◇
P	当你<b><i>用铁或钢割伤自己，把</i></b> <b><i>带血的金属扔进池里</i></b>时，你与水结下契。只要你身上带着一瓶池水，你就受静水结界保护。
P	当你如此受保护并且<b><i>遭受试图感知或影响你念头、</i></b> <b><i>行动或情绪的</i></b> <b><i>魔法</i></b>时，魔法改为针对池中的静水——可能让魔法来源困惑。
P	每次静水结界保护你，标记1点张力然后掷1d6。若点数低于你当前的张力，你所带的水失去效力。当你<b><i>回到池边</i></b> <b><i>并更新契</i></b>时，清除全部张力。
