# minor-little-friend · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 963540651b9069effa3df1ed142b9cabdf3c50bce714dc67b0e7907f4cfc148a
# title: 小小伙伴
# nav_label: 小小伙伴
# description: 小小伙伴（Little Friend），石顶小秘宝：一卷霜领主卷轴，教你冥想造出一个图尔帕追随者。
PAGE	527
H3	一卷美丽的卷轴
P	◇，<i>美丽</i>，<i>易碎</i>
P	一只雕花象牙筒里，是一卷几乎如纱的精细羊毛卷轴。满是符记与图示，用红、黑、黄的浓染料印成。图示似乎描绘某种冥想练习，结果是某种使魔精魂？
P	要解开这卷卷轴的奥秘，你必须……
C	……对魔法有些天赋。
C	……辨读霜领主符记。
C	……花几个月练习它所描述的冥想技法。
C	……描述并命名你希望创造的微型精魂构装：
C	……永久牺牲2 HP，把“生命”灌注给图尔帕。
H3	小小伙伴
P	你创造了一个图尔帕，把它当作追随者。再选2个标签、一项本能、2项额外行动，以及它的代价。
ICON	icons/arcana.svg
H3	图尔帕
P	<i>精魂，构装，微型，天真，热切</i>
C	<i>凶猛 和善 狡黠 胆怯 任性</i>
P	<b>HP</b> 8；<b>护甲</b> 0
P	<b>伤害</b> 1d4（如果有的话）
P	<b>本能</b> 玩耍 学习 炫耀
P	• 显现为尘/雪/汽的形体
P	• 放出光（<i>范围</i>，<i>触及</i>）
P	• 搬运/操纵一件 ◇ 物品
P	• 送出一条口信
P	• 窥探某人/某物
P	<b>代价</b> 给予的尊重 新体验
C	安慰/同情（忠诚：◇◇◇ ）
P	<b>HP</b>
P	起始为8
