# minor-the-green-lords-shade · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 6bd4cf91ed76caef05ec79c4919e1ca845d0668c4dc8be3550993d3752ad597f
# title: A Sombra do Senhor Verde
# nav_label: A Sombra do Senhor Verde
# description: A Sombra do Senhor Verde (The Green Lord's Shade), arcano menor de Stonetop: um crânio com chifres cuja sombra responde sobre tempos antigos — se puder “cavalgar” você.
PAGE	520
H3	Um crânio estranho com chifres
P	<i>imóvel, mágica</i>
P	Um crânio do tamanho da cabeça de um cavalo, mas claramente não de um cavalo — nem de um dragonete, nem de um lobo, nem de um urso. Pois nenhuma dessas feras teria chifres tão poderosos quanto os presos a este crânio.
P	Olhando de perto, veem-se as espirais e curvas de glifos antigos entalhados no osso. Quem está na presença dele muitas vezes sente uma corrente de ar, como se alguém tivesse deixado uma porta entreaberta.
P	Para desvendar os segredos desta relíquia, você…
C	… precisa descobrir o nome da sombra a quem este crânio pertencia; ou…
C	… use o movimento Chamar os Espíritos, do Abençoado, para invocar a sombra.
H3	A Sombra do Senhor Verde
P	Quando você <b><i>faz uma oferenda de boa bebida, fruta</i></b> <b><i>fresca ou carne recém-cozida e invoca a sombra do</i></b> <b><i>crânio</i></b>, ela se manifesta diante de você em sombras.
P	A sombra sabe muito sobre os tempos antigos, os Senhores Verdes e as obras deles. Não tem poder algum, mas pode responder perguntas. Antes de responder, exigirá o direito de “cavalgar” você e experimentar os prazeres da vida. (<b>Instinto</b> satisfazer seus anseios cada vez mais específicos.)
P	Enquanto o cavalga, a sombra se comunica só por impulso e desejo. Quando ela <b><i>o compele</i></b> <b><i>a agir contra a sua vontade</i></b>, marque XP se você obedecer. Se resistir, você está Desafiando o Perigo.
