# minor-sigil-of-authority · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 9fb537b74cbb2de4a1e813a21de809cd962a474839fb4f8b02e6d33088e903eb
# title: Pieczęć Władzy
# nav_label: Pieczęć Władzy
# description: Pieczęć Władzy (Sigil of Authority), mniejsze arkanum ze Stonetop: srebrzysty sygnet, który daje Władzę nad stronnikami i majestat, któremu trudno się oprzeć.
PAGE	535
H3	Srebrzysty sygnet
P	<i>magiczny, piękny</i>
P	Pierścień z białego metalu, niezmatowiały i lśniący, z pojedynczym glifem wyrytym w oczku. Symbol wije się pod twoim spojrzeniem, jakby istniał w większej liczbie wymiarów, niż potrafisz dostrzec. Pierścień pasuje na ciebie idealnie, rzecz jasna.
P	By odkryć tajemnice pierścienia, musisz...
C	… spędzić porę roku, nosząc pierścień i kontemplując glif.
C	… przywyknąć do bólów głowy i mdłości, które wywołuje noszenie pierścienia.
C	… wydać 1 Lojalność swojego stronnika, by naładować pierścień.
C	… spróbować wpłynąć na jednego ze swoich stronników za pomocą pierścienia, ryzykując, że nigdy nie opanujesz jego mocy i/lub zrazisz do siebie stronnika (stronników).
H3	Pieczęć Władzy
P	Władza: ◇◇◇
P	Gdy <b><i>Wzmacniasz więź</i></b> z członkiem swojej społeczności, możesz zamiast tego, by twój stronnik zyskał +1 Lojalności, sam zyskać
P	+1 Władzy (maks. 3). Jeśli <b><i>zdejmiesz pierścień</i></b>, tracisz całą Władzę.
P	Gdy <b><i>Przekonujesz swojego stronnika (stronników), mając Władzę</i></b>, masz przewagę.
P	Możesz wydawać Władzę 1 za 1, by:
B	Spowić się majestatem na maksymalnie kilka minut, przyciągając całą uwagę, onieśmielając słabych duchem i mówiąc głosem, który słyszą wszyscy (<i>daleko</i>, <i>obszar</i>)
B	Siłą woli nakłonić kogoś w twojej obecności, by zrobił, czego chcesz, próbując go Przekonać bez słów
B	Sprawić, by jeden z twoich pobliskich stronników przyjął atak zamiast ciebie, jakby miał Gotowość z Bronienia
