# minor-hand-of-aals-sannan · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 2d2efb822e688b20e19ee93e6a9a75f75d5ef49203e5fb49fb8859ad8f119f2b
# title: 阿尔斯·桑南之手
# nav_label: 阿尔斯·桑南之手
# description: 阿尔斯·桑南之手（Hand of Aals Sannan），石顶小秘宝：一只木乃伊手，用浸血的红晶唤回死去术士的力量。
PAGE	536
H3	一只木乃伊手
P	◇，<i>魔法，易碎</i>
P	发现于一只雕刻的铅盒中，这件阴森遗物饰着三枚金戒指（价值2）。
P	每枚戒指都有一个空托，仿佛本该嵌一颗宝石。只剩下暗沉、铁锈般的碎屑。
P	这只手仍颤动着不洁的活力。要解开它的奥秘，你必须……
C	……得知这只手所属术士的名字。
C	……学会权能之词以及下面的流程。
C	……在三个不同的夜晚，把一块不同的红晶（价值1）浸在一碗你自己的鲜血里（5 HP，标记一项衰弱），整夜吟诵权能之词，然后把仍在滴血的晶体嵌进手上的一枚戒指。
H3	阿尔斯·桑南之手
P	当你（且仅当你）<b><i>触摸这只手并</i></b> <b><i>说出阿尔斯·桑南的名字，</i></b>三颗晶体全部黯淡，这名死去已久的术士的力量灌注于你。把HP重置为上限，清除衰弱，愈合任何麻烦伤口（若你濒死，则不再濒死）。此外，标记一项：
P	◇ 你外貌的一部分改变，变得更像阿尔斯·桑南。
P	◇ 你的本能改变，变得更愤世/操纵/野心勃勃。
P	◇ 你对某个在乎之人的心硬了，从此只把他们看作工具或威胁。
P	当<b><i>三项全部被标记</i></b>时，三颗晶体碎成尘。清除全部三个标记，但其效果仍在。此外，清除此卡正面最后三个勾选格。在你替换全部三颗晶体之前，你不能使用这件秘宝。
