# minor-satchel-of-plenty · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: e2172e177076742f0754408e4040206b59916ac2710cf91f6947d8ae11852316
# title: Torba Obfitości
# nav_label: Torba Obfitości
# description: Torba Obfitości (Satchel of Plenty), mniejsze arkanum ze Stonetop: wyszywana paciorkami torba duchów jesieni, która codziennie daje prowiant.
PAGE	522
H3	Torba wyszywana paciorkami
P	◇, <i>magiczna</i>
P	Zrobiona z grubej, sztywnej skóry i ozdobiona nieprawdopodobnie drobnym haftem z paciorków. Wzór przedstawia drzewo uginające się od owoców, a pod nim rozmaitą zwierzynę, płody rolne i zboża. Szczegóły często się zmieniają, gdy nie patrzysz.
P	Torba jest domem wielu duchów jesieni i obfitości. By odkryć sekrety torby i zyskać pomoc duchów, musisz…
C	… wypić ogromną, niebezpieczną ilość alkoholu.
C	… będąc kompletnie pijanym, porozumieć się z uwięzionymi duchami (<b>Instynkt:</b> szczerze i niezdarnie troszczyć się i obdarowywać) i zdobyć ich przyjaźń.
C	… nakarmić torbę 1 Nadwyżką świeżo zebranych płodów (które nie powinny się w niej zmieścić, a jednak się mieszczą).
H3	Torba Obfitości
P	Gdy <b><i>karmisz torbę 1 Nadwyżką świeżo</i></b> <b><i>zebranych płodów</i></b>, mieszczą się w niej, choć nie powinny. Aż do jesiennych zbiorów w przyszłym roku torba będzie każdego dnia dawać 1 użycie prowiantu. Jest świeży i pożywny, ale za każdym razem inny (i zupełnie nie taki, jakim nakarmiłeś torbę).
P	<b>1d6</b> dzisiejsze jedzenie jest...
P	1 Wręcz niesmaczne, wymaga gotowania
P	2 Mdłe, ale znośne, wymaga gotowania
P	3 Pyszne, wymaga gotowania
P	4 Wręcz niesmaczne, gotowe do jedzenia
P	5 Mdłe, ale znośne, gotowe do jedzenia
P	6 Pyszne, gotowe do jedzenia
P	Gdy <b><i>wyjmujesz z torby więcej niż 1 użycie prowiantu</i></b> <b><i>jednego dnia</i></b>, daje ona do 10 użyć, ale potem nie da już nic, dopóki nie nakarmisz jej znowu następnej jesieni.
