# minor-fetchs-mask · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 566d48f52a56fa1adc910531afb21c47654fba3f9188395f841cc6d6af9ed4ab
# title: Máscara del Doble
# nav_label: Máscara del Doble
# description: Máscara del Doble (Fetch's Mask), arcano menor de Stonetop: una inquietante máscara de cuero que te convierte en el doble perfecto de otra persona.
PAGE	529
H3	Una máscara inquietante
P	◇ si está guardada; <i>mágico</i> Esta máscara rígida y correosa parece un poco cera derretida. En la frente lleva incrustada una gran esfera nacarada. Parece susurrar cuando te dispones a ponértela.
P	Esta máscara esconde más de lo que parece. Para desentrañar sus secretos, debes…
C	… ponerte la máscara a solas y llevarla sin que nadie te vea durante una noche y un día.
C	… observar a alguien sin que se dé cuenta durante unas horas, mientras llevas la máscara.
C	… contarle a la máscara un secreto, algo que nadie más sepa de ti (di al DJ y a los demás jugadores cuál es).
C	… contarle a la máscara el secreto de otra persona, algo que prometiste no contar nunca (di al DJ y a los demás jugadores cuál es).
H3	Máscara del Doble
P	Conocimiento ◇◇◇
P	Cuando <b><i>llevas la máscara y te comes el pelo, la sangre,</i></b> <b><i>una uña, etc. de alguien</i></b>, tú y la máscara os convertís en su doble perfecto hasta el siguiente amanecer o hasta que te quites la máscara.
P	Cuando <b><i>interactúas con un PNJ que conoce a</i></b> <b><i>la persona cuyo rostro llevas</i></b>, tira +CHA: <b>con 10+</b>, guarda 3 de Conocimiento; <b>con 7-9</b>, guarda 1 de Conocimiento; <b>con 6-</b>, sospecha profundamente. Mientras interactúas con él, gasta Conocimiento, 1 por 1, para preguntar al DJ:
B	¿Qué espera que haga o diga?
B	¿Qué espera o quiere de mí?
B	¿Qué secreto le oculto?
P	Cuando <b><i>te quitas la máscara después de haber llevado</i></b> <b><i>el rostro de alguien</i></b>, tira +CON: <b>con 10+</b>, duele, pero sale bien; <b>con 7-9</b>, te queda la cara en carne viva y dolorida, marca una debilidad; <b>con 6-</b>, pierdes 1d4 HP, marcas una debilidad y la máscara te deja cicatrices duraderas y características.
