# minor-the-tomb-bogs-mark · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 0a5ce5a9e855707c25f6e8619c195ec33d68d866df7b67265204986bbdb87ba2
# title: Das Mal des Grabmoors
# nav_label: Das Mal des Grabmoors
# description: Das Mal des Grabmoors (The Tomb-Bog's Mark), ein kleines Arkanum aus Stonetop: der Schlamm eines Moorhügels bei Marschrand, mit dem du Schuldigen einen tödlichen Bann auferlegst.
PAGE	511
H3	Ein düsterer Torfhügel
P	Unweit von Marschrand (Marshedge), ein Stück in Ferriers Fenn (Ferrier's Fen) hinein, liegt ein Torfhügel, auf dem keine Vögel nisten und keine Blumen blühen. Seit der Gründung der Stadt begraben die Leute von Marschrand hier bestimmte Verbrecher, lebendig.
P	Im Lauf der Jahre hat das Land einen Geist hervorgebracht, der nach den letzten Atemzügen der Verurteilten hungert (<i>Buch II</i>, Seite 85). Er ist jung und eifrig und lässt sich auf Verbrecher ansetzen, aber nur, wenn du …
C	… einen Weg findest, mit ihm zu kommunizieren.
C	… ihn überzeugst, dass du sein Mal nur nutzen wirst, um Schuldige zu verurteilen.
H3	Das Mal des Grabmoors
P	Wenn du <b><i>mit Schlamm aus dem Grabmoor</i></b> <b><i>jemanden mit dem Zeichen der Aratis markierst und ihn</i></b> <b><i>eines Verbrechens schuldig sprichst</i></b>, kannst du ihm einen Bann auferlegen. Formuliere ihn als eines der Folgenden:
B	Du darfst nie wieder ____.
B	Fortan musst du stets danach streben, ____, wenn du die Gelegenheit hast.
P	Wenn er <b><i>dem Bann nicht folgt</i></b>, ist sein Leben verwirkt, und der Geist des Grabmoors spürt ihn auf und erstickt ihn.
P	Wenn er <b><i>dem Geist des Grabmoors</i></b> <b><i>seine Unschuld beweist</i></b>, ist stattdessen dein Leben verwirkt.
P	8
