# minor-moonstone · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 870f6051183ac582756a437e87221f0fbfb9927cb744f80ee0012670670bcbdd
# title: A Pedra da Lua
# nav_label: A Pedra da Lua
# description: A Pedra da Lua (Moonstone), arcano menor de Stonetop: uma esfera de cristal leitoso carregada de luar que revela e fere os mortos-vivos.
PAGE	536
H3	Um veio de cristal leitoso
P	<i>mágica, bela, imóvel</i>
P	Encontrado numa caverna, numa montanha ou em algum afloramento rochoso, provavelmente considerado sagrado pelos moradores da região. Parece quartzo branco turvo, mas brilha fracamente à noite.
P	Você pode desvendar os mistérios deste veio e criar um talismã contra os mortos-vivos, mas para isso precisa...
C	… extrair pessoalmente um grande pedaço ◇ de cristal (Valor 1) do veio.
C	… mandar um lapidário moldá-lo e poli-lo numa esfera perfeita (um trabalho de Valor 1).
C	… aprender as palavras sagradas para imbuir uma pedra da lua de luz e depois invocar essa luz.
C	… passar três noites sob a lua cheia, pronunciando as palavras sagradas, arriscando um erro que arruíne a pedra da lua ou, no mínimo, desperdice seus esforços neste mês.
H3	A Pedra da Lua
P	◇, <i>bela, mágica</i>, <i>frágil</i>,
P	horas: ◇◇◇◇◇
P	Quando você <b><i>passa uma noite sob a lua cheia,</i></b> dirigindo a luz dela para a pedra da lua, ela ganha 1 hora de luz (máx. 5).
P	Quando você <b><i>ergue a pedra da lua no escuro</i></b> <b><i>e pronuncia uma palavra sagrada</i></b>, ela brilha com uma luz branca pálida (<i>área</i>, <i>próximo</i>) que não mostra cor alguma, só forma e textura. A luz revela os mortos-vivos, até espíritos que ainda não se manifestaram e entidades mascaradas por magia ou disfarce.
P	Quando <b><i>a pedra da lua é sua única fonte de luz e</i></b> <b><i>você grita a palavra certa</i></b>, ela arde com luz prateada e todos os mortos-vivos ao alcance sofrem 1d6 de dano por hora de luz restante (ignora armadura). A pedra da lua então se apaga, com a luz esgotada até você recarregá-la.
