# minor-revealing-light · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 487e7d52bf295acc0057955932fb09a6bf89af672a340ae3a9da0aac8b6e8300
# title: Lumière révélatrice
# nav_label: Lumière révélatrice
# description: Lumière révélatrice (Revealing Light), arcane mineur : une lampe d'or au beurre magique qui dévoile esprits, illusions et mensonges.
PAGE	527
H3	Une lampe à beurre dorée
P	◇◇ <b>,</b> <i>magique</i><b>,</b> <i>magnifique</i><b>,</b> <i>allonge</i><b>,</b> <i>zone</i>
P	Une lampe surdimensionnée et richement décorée, en forme de calice à large coupe, comme celles qu'on utilise dans le nord pour brûler le beurre de mammouth lors de leurs rituels.
P	Elle vaut une fortune (Valeur 4), mais cette lampe cache plus qu'il n'y paraît. Pour en percer les secrets, tu dois...
C	… consulter un disciple des Seigneurs du Givre (Rime Lords) (ou l'un de leurs recueils de savoir) pour apprendre la recette et le mantra qui font fonctionner la lampe.
C	… te procurer les ingrédients spéciaux pour le beurre de mammouth clarifié à brûler dans la lampe (Valeur 1).
C	… risquer d'attirer l'attention d'un ou plusieurs spectres quand tu allumes la lampe pour la première fois et prononces l'incantation.
H3	Lumière révélatrice
P	Quand tu <b><i>passes une journée à préparer les</i></b> <b><i>ingrédients spéciaux</i></b> (Valeur 1) <b><i>selon la recette</i></b> <b><i>secrète</i></b>, tu crées un ◇ pot de beurre magique (◇◇◇
P	◇◇ heures).
P	Quand tu <b><i>allumes la lampe avec le beurre magique</i></b> <b><i>et récites le mantra</i></b>, la lampe émet une lumière pâle et sans chaleur tant que tu continues de psalmodier.
P	Dans cette lumière :
B	Les esprits actifs sont visibles, même s'ils ne se manifestent pas
B	Les illusions, les charmes et les voiles sont dissipés
B	Les métamorphes apparaissent tels qu'ils sont vraiment
B	Les choses cachées rayonnent d'une aura éclatante
B	Les mensonges prononcés se voient comme une fumée noire qui s'attarde près du sol Hélas, la lumière attire l'ire de tous les spectres (ou autres esprits morts-vivants affamés) à proximité.
P	40
