# minor-nerth-serpents-vigor · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 1c711378b9cfe5cda6cc0b329270243c30a500de0df7015ca916b1a9af6ccc30
# title: 奈尔特蛇之活力
# nav_label: 奈尔特蛇之活力
# description: 奈尔特蛇之活力（Nerth Serpent's Vigor），石顶小秘宝：大森林中的一条小径，在仲夏把你领到奈尔特之树。
PAGE	516
H3	林中的一条小径
P	大森林深处有一块石头，刻着森林之民粗陋的图画文字，显示一条充满试炼、通向强大力量的小径。
P	若你<b><i>在仲夏踏上这条小径，</i></b>你可以解开它的奥秘，但必须……
C	……沉默地顺着曲折小径走，直到你看见白牡鹿。
C	……追那头牡鹿一英里又一英里，直到它把你领到奈尔特之树。
C	……与住在树上的奇异之蛇摔跤（<i>第二卷</i>，page 371），掐死它并吃下仍温热的心。
P	若多人在某个仲夏沿这条路走，其中只有一人能到达奈尔特之树。
H3	奈尔特蛇之活力
P	活力：◇◇◇
P	当你<b><i>掐死奈尔特蛇</i></b> <b><i>并吞下它仍温热的心</i></b>时，持有3点活力。
P	你持有活力期间，衰老非常缓慢。
P	1换1地花费活力来：
B	摆脱一种毒素、疾病或诅咒
B	从致命伤口或伤害中活下来
B	从永久伤残或损伤中完全恢复（休息几天）
B	完成一项非凡力量、本事或耐力的壮举 每次你花费活力，都会显现一处永久的荒野印记（鹿角、皮般的皮肤、兽眼等），或使这样的印记更加明显。告诉我们是什么。
