# minor-the-tomb-bogs-mark · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 0a5ce5a9e855707c25f6e8619c195ec33d68d866df7b67265204986bbdb87ba2
# title: 墓沼の印
# nav_label: 墓沼の印
# description: 罪人に誓約を課す墓沼の精霊の泥の印、小アルカナム（The Tomb-bog's Mark）。
PAGE	511
H3	陰鬱な泥炭の塚
P	マーシュエッジ（Marshedge）からほど近く、フェリアーの沼（Ferrier's Fen）に少し入ったところに、鳥が巣をかけず花も咲かない泥炭の塚がある。町が築かれて以来、マーシュエッジの人々はある種の罪人をここに生き埋めにしてきた。
P	年月を経て、この土地は罪人たちの死に際の息に飢える精霊を生み出した（<i>ブックII</i>、85ページ）。それは若く熱心で、罪人に対して働かせることができる。ただし、あなたが……
C	……それと意思を通わせる方法を見つけ、
C	……その印を罪ある者を裁くためだけに使うと納得させるなら。
H3	墓沼の印
P	<b><i>墓沼の泥を使って誰かに</i></b><b><i>アラティス（Aratis）の印をつけ、その者が</i></b><b><i>罪を犯したと宣告する</i></b>とき、その者に誓約を課すことができる。次のいずれかの形で言い表すこと：
B	汝は二度と____してはならない。
B	今後、機会あるたびに、汝は常に____しようと努めねばならない。
P	その者が<b><i>誓約に従わなかった</i></b>なら、その命は没収され、墓沼の精霊がその者を追い詰めて窒息させる。
P	その者が<b><i>墓沼の精霊に対して</i></b><b><i>自らの潔白を証明した</i></b>なら、代わりにあなたの命が没収される。
P	8
