# minor-bittersweet-elixir · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 60519a0c208ea62461d8f088dc2ea8dc1c8d169feb96dfee0aa0940b25c62025
# title: O Elixir Agridoce
# nav_label: O Elixir Agridoce
# description: O Elixir Agridoce (Bittersweet Elixir), arcano menor de Stonetop: uma bacia de sequoia que transforma anos da sua vida num gole de mel e arrependimento capaz de curar.
PAGE	537
H3	Uma bacia de sequoia
P	◇◇, <i>mágica, bela</i>
P	Uma tigela larga e rasa, entalhada com flores e trepadeiras espinhosas que se entrelaçam por crânios de cervos e outras feras. O padrão muda quando você não está olhando; nunca é exatamente o mesmo duas vezes.
P	Para desvendar os mistérios da bacia, você precisa...
C	… fazer amizade com o espírito de vida e vitalidade que habita nela.
C	… aprender com um Fae como derramar anos da sua vida na bacia.
C	… encher a bacia com alguns anos da sua vida.
P	Quando você <b><i>marca o último requisito e desvenda</i></b> <b><i>este arcano</i></b>, marque sua idade atual do outro lado. Depois, ative o movimento Elixir Agridoce.
H3	O Elixir Agridoce
P	◇ jovem, ◇ maduro, ◇ idoso
P	Quando você <b><i>enche a bacia com alguns anos da sua</i></b> <b><i>vida</i></b>, ela se torna um gole de mel e arrependimento.
P	Ou marque a próxima idade acima (e atualize sua aparência) enquanto os anos perdidos o alcançam, ou marque um dos seguintes (à sua escolha):
C	Seu humor muda drasticamente (como?)
C	Você vê a Última Porta (como ela é?)
C	Reduza STR, DEX ou CON em 1
C	Você tem menos de um ano de vida
P	Quando alguém <b><i>bebe todo o elixir agridoce, direto da bacia</i></b>, escolhe 1:
B	Recuperar todos os HP, limpar todas as debilidades e curar quaisquer ferimentos problemáticos ativos
B	Livrar-se de todo veneno/doença
B	Recuperar-se por completo de um ferimento permanente até o fim da próxima estação, ou antes
