# playbooks-inserts · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 978f0e3cac18afd26b2610f48f3e0a078a9616c3fc70da8d9d2402fc35979bef
# title: 剧本与附页
# nav_label: 剧本与附页
# description: 剧本与附页：九份标准剧本、GM剧本，以及如何与全桌谈清楚一项行动意味着什么。
PAGE	104
P	<b>本章写给玩家，但</b> <b>GM也该读一读！</b>
P	本章内容可作为
P	PDF在 www.lampblackandbrimstone.com 的可下载游戏包中获得。收录于此供参考，不是供游戏中使用。
H2	剧本
P	当你为<i>石顶</i>创建一名PC时，你做的第一件事就是挑选剧本。
P	每份剧本包含一套选择、提示与选项，指向一种特定的角色原型，同时留出空间让角色独一无二。
P	你的剧本也充当角色表。你会用它追踪PC的属性、衰弱、当前HP和XP、行动，等等。剧本设计为双面打印并从中间对折，形成一个小册子。
P	九份标准剧本是：
B	<b>蒙福者</b>（page 105）
B	<b>狐狸</b>（page 109）
B	<b>壮汉</b>（page 113）
B	<b>裁判官</b>（page 117）
B	<b>持光者</b>（page 121）
B	<b>统帅</b>（page 125）
B	<b>游侠</b>（page 129）
B	<b>探寻者</b>（page 133）
B	<b>准英雄</b>（page 137）
PB
P	关于PC剧本每个组成部分的说明，见前一章的<b>你的角色</b>（page 50）。
P	每名PC也至少有一份<b>附页</b>。标准附页也收录在本章，从 page 141 起。
H2	GM也有一份剧本
P	当你从 lampblackandbrimstone.com 下载游戏包时，也会找到一份GM剧本的PDF，一套规则、地图和工具的汇编，供GM在游戏与准备中快速查阅。它是本书和<i>第二卷</i>其他地方内容的摘要，因此不收录在本章。
P	当你对一份剧本的特定行动或其他要素有疑问（它们如何运作、__ 究竟是什么意思、什么构成“黑暗生物”等）时，和GM及其他玩家谈清楚。考虑已经确立或暗示的事，作为一桌把它弄清楚。
P	若GM把这类问题抛回给你，别惊讶。“那么，<i>你</i>觉得什么构成黑暗生物？”
P	这不是陷阱或把戏！这是邀请你去<b>帮助创作世界</b>。用对你来说显而易见或有趣的任何答案来回答。只是要准备好，那个答案会对这项行动在你们游戏中如何运作产生持久影响！
