# minor-bronze-protector · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 6040d04858ebda494bdc51cbdd45697a72beb5652974cf71cc71c9a495241d1c
# title: 青銅の守護者
# nav_label: 青銅の守護者
# description: ストーントップの小アルカナム「青銅の守護者」（Bronze Protector）。炉の精霊が宿り動き出す青銅の構造体。
PAGE	533
H3	金属の男
P	<i>魔法</i>、<i>壊れやすい</i>
P	青銅の像。いや、実のところ像ではなく、組み合わさった管の骨組みの周りに鎧の部品を巧みに継ぎ合わせたものに近い。そして「胸」は胸当てというより、小さな達磨ストーブだ。その緑青の下には、複雑なルーンがかろうじて見える。
P	へこみ、ひび割れ、ばらばらになっているが、注意深く探せば部品はすべて見つかる。
P	これが単なる像でないことは明らかだが、その神秘を解き明かすには、あなたは……
C	……体を修理しなければならない。<i>卓越した</i>鍛冶師でも丸一季節かかる（価値3）。
C	……数週間かけてルーンを修復しなければならない。誤ればルーンが効かなくなるか不安定になる危険がある。
C	……あなた自身の炉の精霊を説き伏せ、ストーブに宿って構造体を動かしてもらわなければならない。
H3	青銅の守護者
P	備え：◇◇◇◇
P	<b><i>ストーブのような胸の中で火が燃えている</i></b>限り、炉の精霊が構造体を動かす。それを従者として扱う。
ICON	icons/construct.svg
H3	青銅の守護者
P	<i>構造体、精霊、頑丈、用心深い、</i><i>横柄、無言、騙されやすい</i>
P	<b>HP</b> 13；<b>アーマー</b> 3（金属）
P	<b>ダメージ</b> 殴打 1d8（<i>至近</i>）
P	<b>特殊能力</b> 耐火。守り抜くで7+なら備えを+1ホールドする。HPを回復するには鍛冶場と道具が必要 <b>本能</b> あなたを守ることに熱心になりすぎる
P	• 煙を吐きながら威圧的にそびえ立つ
P	• 火を起こし、巻き添えの被害をもたらす
P	• 燃料が尽きかける
P	<b>代価</b> 惜しみない感謝（忠誠：◇◇◇ ）
P	<b>HP</b>
P	初期値13
