# minor-chimeric-transmogrification · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: f6c0e221926acc7e9308ae5981a57388e7a965164b800d2e52ef536405c577f2
# title: キメラ変成
# nav_label: キメラ変成
# description: 獣に別の獣の特徴を与える呪文を記した羊皮紙、小アルカナム（Chimeric Transmogrification）。
PAGE	521
H3	張られた羊皮紙
P	◇◇、<i>壊れやすい</i>
P	木枠にぴんと張られたこの古い羊皮紙は、緑の君（Green Lords）の入り組んだ渦巻く象形文字で埋め尽くされている。図は、生き物が他の獣の特徴を持つように変わっていく様を描いている。何らかの呪文の基礎であるらしい。
P	その神秘を解き明かし呪文を習得するには、あなたは……
C	……緑の君の象形文字を解読せねばならない。
C	……数週間をかけてそれを研究し、思索せねばならない。
C	……ヤギ、ブタ、猟犬など、少なくとも<i>小型</i>の獣で実験せねばならない。獣を殺したり、不具にしたり、おぞましく変異させたり、狂わせたりする危険がある。
H3	キメラ変成
P	<b><i>ある獣の一部（毛皮、骨など）を掲げ、</i></b><b><i>別の者にキメラ変成の言葉を唱える</i></b>とき、+INTでロールする。<b>10+なら</b>、呪文は効果を発揮する。<b>7〜9なら</b>、衰えを1つマークした場合にのみ呪文は効果を発揮する。
P	<b><i>呪文が効果を発揮した</i></b>とき、1d10+CONをロールする。出目が<b>対象の現在のHP以上</b>なら、手にした獣の特徴を1つ挙げる——対象の姿はねじれ歪み、数時間眠るまでその特徴を得る。その経験は方向感覚を失わせ、恐ろしいものであり、ほとんどの獣や人はパニックに陥る。出目が<b>対象の現在の</b><b>HP未満</b>なら、その姿は数秒間ぞっとするほどねじれ歪むが、対象は変身を振り払う。<b>いずれの場合も</b>、手にした獣の一部は失われ、しなびて消え去る。
