# minor-mantle-wraiths · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: e4f9376f94c9c293e62a9b425844ca1c6dc9ef8d19fa2090adc8b8804b640dd6
# title: Os Espectros do Manto
# nav_label: Os Espectros do Manto
# description: Os Espectros do Manto (Mantle Wraiths), arcano menor de Stonetop: um manto esfarrapado com espectros famintos presos a ele, prontos a se lançar sobre os vivos.
PAGE	512
H3	Um manto esfarrapado
P	◇, <i>quente, mágica</i>
P	Encontrado num esqueleto limpo de toda carne e que traz o que só se pode descrever como marcas de mordida por todos os ossos. Um exame atento do manto revela sigilos tecidos em fio prateado e dentes humanos costurados na franja como contas decorativas.
P	Você pode desvendar o poder deste manto…
C	… usando-o por três dias e três longas, longas noites, suportando os pesadelos.
C	… dominando os espectros babujantes que estão amarrados a ele.
H3	Os Espectros do Manto
P	Quando você <b><i>solta os espectros amarrados ao</i></b> <b><i>manto</i></b>, trate-os como seguidores. Eles detestam voltar ao manto; você precisa gastar a Lealdade deles ou Persuadi-los.
ICON	icons/spirit.svg
H3	Espectros do manto
P	<i>Grupo</i> (3), <i>espírito, morto-vivo, aterrorizante, cruel</i>
P	<b>HP</b> 13; <b>Armadura</b> 1 (amorfo)
P	<b>Dano</b> dreno vital d8 (<i>mão</i>, ignora armadura)
P	<b>Instinto</b> correr soltos
P	<b>Qualidades especiais</b> impotentes à luz do dia
P	• Sussurrar seus anseios a quem os veste
P	• Manifestar uma forma de sombra e frio (feridos só por prata e sal)
P	• Lançar-se sobre os vivos
P	• Sugar a vitalidade da presa
P	<b>Custo</b> almas devoradas (Lealdade ◇◇◇ )
P	<b>HP</b>
P	Starts at 13 each
P	10
