# minor-convocation-of-the-soil · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: Zgromadzenie Gleby
# nav_label: Zgromadzenie Gleby
# description: Zgromadzenie Gleby (Convocation of the Soil), mniejsze arkanum ze Stonetop: rytuał z zatopionej tablicy, który krwią budzi duchy gleby i pomnaża plony.
PAGE	524
H3	Zatopiona tablica
P	<i>nieruchoma</i>
P	Wielki, stary blok kamienia, szeroki na może półtora metra, pokryty błotem i glonami. Widnieją na nim ledwie widoczne runy Twórców. Runy ziemi, duchów i odnowy.
P	Tablica odsłania przebieg rytuału, którego możesz się nauczyć, jeśli…
C	… wydobędziesz tablicę z mułu.
C	… starannie ją oczyścisz.
C	… odcyfrujesz runy Twórców.
C	… przez kilka tygodni będziesz studiować runy.
C	… przećwiczysz rzucanie zaklęcia, ryzykując, że zaszkodzisz okolicznej glebie albo zbudzisz w ziemi coś niebezpiecznego.
H3	Zgromadzenie Gleby
P	Gdy <b><i>przelewasz swoją krew na glebę i wypowiadasz</i></b> <b><i>słowa zgromadzenia</i></b>, duchy gleby poruszą się i zbudzą, napełniając glebę życiem, energią i składnikami odżywczymi.
P	Gdy <b><i>rzucasz to zaklęcie na pola wczesną</i></b> <b><i>wiosną, przelewając przerażającą ilość swojej krwi</i></b>, zaznacz wszystkie trzy osłabienia i strać wszystkie HP poza 1.
P	Jeśli osada wyda 1 Nadwyżki, by obsiać ugory, tegoroczne jesienne żniwa przyniosą
P	1d4+1 dodatkowej Nadwyżki.
P	Musisz jednak rzucić +WIS: <b>przy 10+</b> nie ma żadnych konsekwencji; <b>przy 7-9</b> przed przesileniem letnim musisz napoić glebę krwią dużego, zdrowego zwierzęcia (jak koń, muł, żubr czy tur), bo inaczej dodatkowe plony zmarnieją, a dodatkowa Nadwyżka przepadnie; <b>przy 6-</b> zaklęcie działa, ale budzisz w glebie jakiegoś niebezpiecznego ducha albo narośl lub uwalniasz jakieś zło uwięzione w ziemi.
