# minor-peacebond · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 593033fb6f630dbae6870a3fc6944a32b29de7158f84a23477c3bcf3587ae464
# title: 和平の絆
# nav_label: 和平の絆
# description: あらゆる暴力を抑え込む象形文字に覆われた封じられた洞窟、小アルカナム（Peacebond）。
PAGE	519
H3	封じられた洞窟
P	<i>魔法</i>
P	丘や山の高みに、煉瓦で塞がれた洞窟の入口が見つかる。中には何十もの屍が横たわり、寒さによって何世紀も保存されている。
P	その多くは顎が歪み、歯は大きすぎ、指は長く伸びて先が爪のように細くなっている。暴力の痕跡を示すものはほとんどない。ただ横たわって死んだように見える。
P	実際、洞窟の壁一面に刻まれた渦巻く象形文字は、あがく意志を、戦う意志を、ほとんど何を……する意志をも奪い去る。その神秘を学ぶことはできる。だが……
C	……陰鬱なシェイドにつきまとわれながら、何日もかけて注意深く書き写すことになる。
C	……その場所の倦怠に屈する危険を冒す。
H3	和平の絆
P	<b><i>和平の絆の象形文字で</i></b><b><i>場所に印をつけた</i></b>とき、象形文字が残る限り、その範囲では暴力（自衛のためであっても）が抑え込まれる。和平の絆の範囲に長くとどまるほど、また象形文字が緻密に織り込まれているほど、その効果は大きい。
P	<b><i>和平の絆の範囲内で暴力を振るおうとする、</i></b>
P	<b><i>あるいは和平の絆の象形文字そのものを</i></b>
P	<b><i>傷つけようとする</i></b>とき、あなたはためらう。
P	<b><i>それでも続けようと意志を奮い立たせる</i></b>なら、HPを1d4失い、+WISでロールする。<b>10+なら</b>、やり遂げる。<b>7〜9なら</b>、行動はできるが、暴力を振るうためのロール（ダメージを含む）すべてに不利を受ける。<b>6-なら</b>、行動できず、<i>朦朧</i>をマークする。
