# minor-shell-game-of-souls · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 28ab5d54aed35c5cfa8bfa1dbac3edc6425fd9510c73e3cc9c451679bb5792e4
# title: O Jogo de Almas
# nav_label: O Jogo de Almas
# description: O Jogo de Almas (Shell Game of Souls), arcano menor de Stonetop: runas numa caverna que ensinam a prender almas moribundas à sua carne — e a mandá-las morrer no seu lugar.
PAGE	510
H3	Entalhes numa caverna
P	No fundo de uma dolina há uma caverna de calcário.
P	Um esqueleto apodrecido está encostado numa parede, com sinais de ter sido enforcado. Mas entalhadas nas paredes da caverna há runas, incrustadas de depósitos minerais.
P	Você pode estudar as runas e aprender os segredos que elas guardam, mas...
C	… precisa restaurar as runas com cuidado, ao longo de algumas semanas de trabalho.
C	… corre o risco de arruiná-las enquanto trabalha.
C	… precisa decifrar os escritos antigos, parecidos com as runas dos Senhores da Pedra.
C	… depois levará alguns dias de estudo.
H3	O Jogo de Almas
P	Almas (máx. CON): ◇◇◇
P	Quando você <b><i>toca um ser inteligente e moribundo, pronunciando o nome dele e palavras de aprisionamento</i></b>, role +INT:
P	<b>com 10+</b>, você prende a alma dele à sua carne; <b>com</b> <b>7-9</b>, você prende a alma, mas enfraquece a sua — reduza seus HP máximos em 1d4+1.
P	Sua carne pode prender um número de almas igual ao seu CON. Elas se manifestam em sonhos e lutam pelo controle quando sua mente ou seu corpo estão fracos. Escreva os nomes delas aqui:
P	Quando você <b><i>tira 6- em À Beira da Morte</i></b>, pode soltar uma alma presa para atravessar a Última Porta no seu lugar. Se fizer isso, sobrevive como se tivesse tirado 7-9. Seu corpo, porém, ainda traz as marcas daquilo que o teria matado.
