# Nerth Serpent's Vigor · Book II, p. 516 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	516
H3	A path in the woods
P	Deep in the Great Wood sits a stone, carved with the crude pictograms of the Forest Folk, showing a trail fraught with trials and leading to great power.
P	If you <b><i>set forth upon the trail at midsummer,</i></b> you can unlock its mysteries, but you must...
C	… follow the twisting paths in silence, until you spy the White Hart.
C	… chase the Hart for miles and miles, until it leads you to the Tree of Nerth.
C	… wrestle the strange serpent that lives in the tree (<i>Book II</i>, page 371), crushing the life from it and eating its still-warm heart.
P	Should multiple people follow the path on a given midsummer, only one of them can reach the Tree of Nerth.
H3	Nerth Serpent's Vigor
P	Vitality: ◇◇◇
P	When you <b><i>crush the life from the Nerth Serpent</i></b> <b><i>and devour its still-warm heart</i></b>, hold 3 Vitality.
P	While you hold Vitality, you age very slowly.
P	Spend Vitality 1-for-1 to:
B	Shrug off a poison, sickness, or curse
B	Survive a lethal wound or injury
B	Recover fully from a permanent injury or impairment (with a few days' rest)
B	Perform a feat of extraordinary strength, prowess, or endurance Each time you spend Vitality, you manifest a permanent mark of the wild (antlers, hide-like skin, animal eyes, etc.) or such a mark becomes more pronounced. Tell us what it is.
