# Preserving Runes · Book II, p. 518 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	518
H3	A timeless vault
P	<i>magical</i>
P	High in the hills or mountains, a pair of massive stone doors are set into the hillside. The markings outside are faded and covered in lichen. The doors aren't locked; one lies a bit ajar. Inside, the vault and its contents are untouched by time, free of dust or mold. Clearly some magic is afoot.
P	To unlock the secrets of this place's stasis…
C	… find and reveal the hidden runes that anchor the magic.
C	… spend a few hours copying them, risking an error.
C	… spend weeks tracing the runes on objects, until they gleam silver and vanish.
H3	Preserving Runes
P	When you <b><i>trace the runes along the inside of a</i></b> <b><i>room or container</i></b>, they gleam silver and fade, preserving the contents from dust, spoilage, rust, etc. Lose 1 HP, plus 1 HP for each of the following that are true:
B	The container/room is more than a few feet long in any dimension
B	The container is portable (else, the effect ends if it is moved)
B	The effect lasts indefinitely, as long as the runes are intact (else, it starts when the room/container is sealed and ends when it is unsealed)
P	Once the runes are in place, roll +CON: <b>on a</b> <b>10+</b>, you regain the lost HP normally; <b>on a 7-9</b>, you can't regain the lost HP until a season passes <i>or</i> the effect ends, whichever comes first; <b>on a 6-</b>, you can't regain the lost HP until the effect ends
P	and then a season passes (and don't mark XP).
