# minor-wishing-candles · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 029c63026acf019365bdb33cfd4907355535799a687e7e6e8149f8c3d322cd89
# title: Wunschkerzen
# nav_label: Wunschkerzen
# description: Wunschkerzen (Wishing Candles), ein kleines Arkanum aus Stonetop: eine Pergamentrolle mit dem Rezept für Kerzen, die Wünsche erfüllen – zu einem Preis, den das Dorf zahlt.
PAGE	530
H3	Eine Pergamentrolle
P	◇, <i>zerbrechlich</i>
P	Eine für ihr Alter bemerkenswert geschmeidige Schriftrolle, gefunden in einer Elfenbeinröhre. Sie trägt Schrift in einem fremden Alphabet, mit dunkelroter Tinte geschrieben. Es gibt auch Diagramme. Vielleicht ist es eine Art Rezept? Oder ein Zauber? Vielleicht beides?
P	Um die Geheimnisse dieser Schriftrolle zu entschlüsseln, musst du …
C	… die Herkunft der Rolle bestimmen und die Sprache des Verfassers lesen können.
C	… die Verschlüsselung knacken, in der das Rezept verfasst ist.
C	… die ungewöhnlichen und widerwärtigen Zutaten des Rezepts beschaffen (Wert 1).
C	… ein paar Tage lang die Beschwörungsformel üben und riskieren, dass dir beim ersten Versuch ein Fehler mit möglicherweise verheerenden Folgen unterläuft.
H3	Wunschkerzen
P	Anwendungen: ◇◇◇◇◇
P	Wenn du <b><i>ein paar Tage damit verbringst, dem widerwärtigen Rezept der Schriftrolle zu folgen</i></b> (Wert 1), erhältst du 1d4+1
P	Wunschkerzen.
P	Wenn du <b><i>eine Wunschkerze entzündest und die</i></b> <b><i>hässliche Beschwörungsformel sprichst</i></b>, sag, was du erlangen willst:
P	Es wird bald in deinen Besitz gelangen. Würfle den Schicksalswürfel, um den Preis zu erfahren. War es ein Gegenstand mit Wert 1 oder weniger, würfle zweimal und such dir ein Ergebnis aus.
P	1d6 Preis
P	1 Die Ernte fällt aus/2d4 Überschuss gehen verloren
P	2 Eine Ressource oder ein Besitz des Dorfes geht verloren/wird gestohlen/zerstört usw.
P	3 Ein Nachbar erkrankt schwer oder erleidet einen seltsamen Unfall/Verlust
P	4 Merkwürdige Ereignisse suchen das Dorf heim; Panik droht
P	5-6 Diesmal kein nennenswerter Preis
