# minor-fetchs-mask · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 566d48f52a56fa1adc910531afb21c47654fba3f9188395f841cc6d6af9ed4ab
# title: 替身之面
# nav_label: 替身之面
# description: 替身之面（Fetch's Mask），石顶小秘宝：一副扰人的面具，吃下某人的发或血便可成为其完美替身。
PAGE	529
H3	一副扰人的面具
P	收起时 ◇；<i>魔法</i> 这副僵硬的皮质面具看起来有点像融化的蜡。额头嵌着一颗大珍珠色球体。你要戴上它时，它似乎在低语。
P	这副面具比眼见的更多。要解开它的秘密，你必须……
C	……独自戴上面具，不为人见地戴上一夜一日。
C	……戴着面具，不被察觉地观察某人几个钟头。
C	……告诉面具一个秘密，一件没人知道的关于你的事（告诉GM和其他玩家是什么）。
C	……告诉面具另一个人的秘密，一件你答应永不说出的事（告诉GM和其他玩家是什么）。
H3	替身之面
P	识见 ◇◇◇
P	当你<b><i>戴着面具并吃下某人的头发、</i></b> <b><i>血、指甲等</i></b>时，你和面具成为他们毫无瑕疵的替身，直到下次日出或你摘下面具。
P	当你<b><i>与认识你所戴面容之人的</i></b> <b><i>NPC互动</i></b>时，掷 +CHA：<b>10+</b>，持有3点识见；<b>7-9</b>，持有1点识见；<b>6-</b>，他们深为怀疑。与他们互动时，1换1地花费识见向GM问：
B	他们期望我做什么/说什么？
B	他们希望/想从我这里得到什么？
B	我对他们隐瞒着什么秘密？
P	当你<b><i>戴过某人的面容后摘下</i></b> <b><i>面具</i></b>时，掷 +CON：<b>10+</b>，疼，但顺利摘下；<b>7-9</b>，你的脸又红又痛，标记一项衰弱；<b>6-</b>，失去1d4 HP，标记一项衰弱，面具留下持久、醒目的疤。
