# minor-ice-weaving · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 694cfeb77f5ccbbcfcdbed536d559696a7e4b121898a35789b2be85f19370169
# title: O Tecer do Gelo
# nav_label: O Tecer do Gelo
# description: O Tecer do Gelo (Ice Weaving), arcano menor de Stonetop: um códice dos Senhores da Geada que ensina a moldar gelo escuro ao custo da própria vitalidade.
PAGE	515
H3	Um códice descomunal
P	<i>imóvel</i>, <i>frágil</i>
P	Um livro de cerca de 60 por 90 centímetros e pouco mais de 15 centímetros de altura quando fechado. A capa é feita de tábuas de cedro prateado. As folhas são de velino fino, esticado de peles de alguma fera enorme.
P	As páginas estão repletas de caligrafia, grande e precisa, com muitos diagramas mostrando poses meditativas e estranhos padrões geométricos ligados ao calor, à água e ao gelo.
P	Para desvendar os mistérios do códice, você precisa…
C	… decifrar a escrita, redigida numa forma do alfabeto dos Senhores da Geada.
C	… passar meses estudando o texto e praticando as técnicas nele contidas.
C	… arriscar prejudicar sua saúde de forma permanente ao dominá-las.
H3	O Tecer do Gelo
P	Quando você <b><i>impõe sua vontade para formar gelo escuro</i></b>, perca 1 HP, +1
P	HP para cada um dos seguintes que desejar:
B	É suficiente para fazer uma parede pequena ou envolver uma pessoa (caso contrário, é ◇◇ no máximo)
B	É duro como pedra
B	É sólido para espíritos, capaz de bloqueá-los/feri-los/ atrapalhá-los Depois, role +CON: <b>com 10+</b>, escolha 2; <b>com 7-9</b>, escolha 1, ou escolha 2 e perca mais 2 HP.
B	Forma-se depressa, até violentamente (caso contrário, leva minutos, até horas)
B	Forma-se a até alcance <i>próximo</i> (caso contrário, forma-se só a alcance de <i>mão</i>)
B	Seu formato é tão intrincado quanto você conseguir imaginar (caso contrário, é só um bloco tosco)
P	O gelo persiste até ser quebrado, derretido por calor intenso, ou até você deixá-lo derreter. Você não pode recuperar os HP gastos enquanto ele persistir.
