# minor-ffyrnig-tonic · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 0913f5061658f0fcb9c447c7ba1526ce830d30ab3beb5eff7f042c5afd2bcf85
# title: Tonik Ffyrnig
# nav_label: Tonik Ffyrnig
# description: Tonik Ffyrnig (Ffyrnig Tonic), mniejsze arkanum ze Stonetop: przepis z drewnianej kuli na napój z korzenia ffyrnig, który leczy i dodaje zuchwałości.
PAGE	513
H3	Ogromna drewniana kula
P	<i>nieruchoma</i>
P	Na wpół zakopana i mocno zarośnięta, szeroka na około 1,2 m i ważąca setki kilogramów.
P	Jest dziwnie dobrze zachowana i ozdobiona misternymi piktogramami. Nieopodal gnije kilka innych kul.
P	Piktogramy przedstawiają jakiś przepis, którego możesz się nauczyć, ale musisz…
C	… najpierw odkopać i oczyścić kulę.
C	… spędzić tygodnie na studiowaniu glifów.
C	… zdobyć świeży korzeń ffyrnig.
C	… zdobyć żółć dzika.
P	A potem…
C	… ryzykujesz, że pomylisz się w przepisie, i to śmiertelnie.
H3	Tonik Ffyrnig
P	Gdy <b><i>marynujesz świeży korzeń ffyrnig w zawiesinie z żółci dzika przez dwie pełnie księżyca</i></b>, powstaje bukłak toniku ffyrnig (3 użycia, <i>magiczny</i>).
P	Gdy <b><i>pociągniesz łyk toniku ffyrnig,</i></b> wybierz 1:
B	Odzyskaj HP równe ½ swojego maksimum
B	Usuń osłabienie
P	Poza tym masz przewagę w następnym rzucie na śmiałe działanie fizyczne. Ale dopóki takiego działania nie podejmiesz, masz utrudnienie we wszystkich rzutach, które
P	wymagają cierpliwości, ostrożności lub namysłu.
P	Gdy <b><i>wypijesz drugi łyk toniku ffyrnig,</i></b> <b><i>zanim porządnie się wyśpisz</i></b>, jedynym skutkiem będzie to, że się pochorujesz (zaznacz osłabienie).
P	12
