# Revealing Light · Book II, p. 527 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	527
H3	A gold butter lamp
P	◇◇ <b>,</b> <i>magical</i><b>,</b> <i>beautiful</i><b>,</b> <i>reach</i><b>,</b> <i>area</i>
P	An oversized, highly decorated lamp, shaped like a chalice with a wide cup, like those lamps they use up north to burn mammoth-butter in their rituals.
P	It's worth a fortune (Value 4), but there's more to this lamp than meets the eye. To unlock its secrets, you must...
C	… consult with a disciple of the Rime Lords (or one of their troves of lore) to learn the recipe and mantra that makes the lamp work.
C	… acquire the special ingredients for the clarified mammoth-butter to be burned in the lamp (Value 1).
C	… risk drawing the attention of one or more wraiths when you first light the lamp and utter the incantation.
H3	Revealing Light
P	When you <b><i>spend a day preparing the special</i></b> <b><i>ingredients</i></b> (Value 1) <b><i>according to the secret</i></b> <b><i>recipe</i></b>, you create a ◇ jar of magic butter (◇◇◇
P	◇◇ hours).
P	When you <b><i>light the lamp using the magic butter</i></b> <b><i>and intone the mantra</i></b>, the lamp gives off a pale, heatless light so long as you continue to chant.
P	Within this light:
B	Active spirits are visible, even if they are not manifest
B	Illusions, glamours, and veils are stripped away
B	Shapechangers can be seen for what they truly are
B	Hidden things radiate a bright aura
B	Lies spoken are visible as black smoke that lingers near the ground Alas, the light draws the ire of any wraiths (or other hungry undead spirits) nearby.
P	40
