# minor-the-silver-branch · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 88dbdbb19f445be3b72e015b265165d528372dff6428ba4189090648b9be3e18
# title: La Rama de Plata
# nav_label: La Rama de Plata
# description: La Rama de Plata (The Silver Branch), arcano menor de Stonetop: un mapa del tesoro que conduce al dominio de los Fae y a un árbol de plata cuyas ramas llenan de dicha a quien las oye tintinear.
PAGE	538
H3	Un mapa del tesoro
P	<i>frágil</i>
P	Un trozo de pergamino hecho jirones. Muestra un camino que parte de cierto grupo de piedras erguidas: atraviesa un pantano, remonta un río, llega a un lugar tras una cascada y después cruza un bosque de árboles afilados como espadas.
P	Hay glifos del Pueblo del Bosque (Forest Folk) garabateados por todas partes, pero al final: un árbol de plata, y una X marca el lugar.
P	Para desentrañar los misterios del mapa y reclamar el premio del final, debes...
C	… encontrar las piedras erguidas que marcan el inicio del camino.
C	… seguir el mapa hasta la cascada.
C	… entrar en el dominio de los Fae que hay más allá.
C	… atravesar el bosque de árboles-espada.
C	… arriesgarte a caer bajo el hechizo soporífero del árbol de plata.
C	… hacerte con una rama del árbol de plata.
C	… volver a casa.
H3	La Rama de Plata
P	◇, <i>mágico</i>, <i>hermoso</i>
C	◇ fresca, ◇ marchitándose, ◇ desnuda Mide un par de metros de largo y está cargada de flores blancas y frutos dorados que tintinean. Es sorprendentemente resistente y se mantiene fresca indefinidamente a menos que se usen sus poderes. Solo puede salir del dominio de los Fae una rama así a la vez.
P	Cuando <b><i>haces tintinear la rama de plata</i></b>, todos los que la oyen (<i>alcance</i>, <i>área</i> excepto tú) se llenan de dicha y olvidan sus penas durante unas horas. Tira +CHA:
P	<b>con 10+</b>, elige 1; <b>con 7-9</b>, elige 1 y el DJ elige otra; <b>con 6-</b>, las 3.
B	La rama empieza a marchitarse; si ya se estaba marchitando, queda desnuda y pierde sus poderes
B	Algunos (el DJ elige quiénes) se quedan extasiados durante días o semanas, debilitándose y desmejorando mientras tanto
B	Algunos (el DJ elige quiénes) se obsesionan con volver a oírla tintinear
