# minor-revealing-light · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 487e7d52bf295acc0057955932fb09a6bf89af672a340ae3a9da0aac8b6e8300
# title: A Luz Reveladora
# nav_label: A Luz Reveladora
# description: A Luz Reveladora (Revealing Light), arcano menor de Stonetop: uma lamparina de ouro que, com manteiga mágica e um mantra, revela espíritos, disfarces e mentiras.
PAGE	527
H3	Uma lamparina de manteiga de ouro
P	◇◇ <b>,</b> <i>mágica</i><b>,</b> <i>bela</i><b>,</b> <i>alcance</i><b>,</b> <i>área</i>
P	Uma lamparina grande e muito decorada, em forma de cálice com uma taça larga, como aquelas que usam no norte para queimar manteiga de mamute em seus rituais.
P	Vale uma fortuna (Valor 4), mas há mais nesta lamparina do que se vê. Para desvendar seus segredos, você precisa...
C	… consultar um discípulo dos Senhores da Geada (ou um dos acervos de saber deles) para aprender a receita e o mantra que fazem a lamparina funcionar.
C	… conseguir os ingredientes especiais para a manteiga de mamute clarificada que será queimada na lamparina (Valor 1).
C	… arriscar atrair a atenção de um ou mais espectros quando acender a lamparina e pronunciar o encantamento pela primeira vez.
H3	A Luz Reveladora
P	Quando você <b><i>passa um dia preparando os ingredientes</i></b> <b><i>especiais</i></b> (Valor 1) <b><i>conforme a receita</i></b> <b><i>secreta</i></b>, você cria um ◇ pote de manteiga mágica (◇◇◇
P	◇◇ horas).
P	Quando você <b><i>acende a lamparina usando a manteiga mágica</i></b> <b><i>e entoa o mantra</i></b>, a lamparina emite uma luz pálida e sem calor enquanto você continuar a entoar.
P	Dentro desta luz:
B	Espíritos ativos ficam visíveis, mesmo que não estejam manifestos
B	Ilusões, encantos e véus são desfeitos
B	Metamorfos podem ser vistos como realmente são
B	Coisas ocultas irradiam uma aura brilhante
B	Mentiras ditas ficam visíveis como fumaça negra que se demora perto do chão Infelizmente, a luz atrai a ira de quaisquer espectros (ou outros espíritos mortos-vivos famintos) por perto.
P	40
