# minor-staff-of-magnetism · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 8cc5cdae8c1c13fa439033cfa8f8683c699c1b57c54e223b26cca235dfe23f8f
# title: O Cajado do Magnetismo
# nav_label: O Cajado do Magnetismo
# description: O Cajado do Magnetismo (Staff of Magnetism), arcano menor de Stonetop: um cajado cintado de etério que, carregado de raios, atrai e move o ferro à distância.
PAGE	531
H3	Um cajado cintado de cobre
P	◇, <i>mágica</i>
P	Um cajado curto, de cerca de 1,2 metro, que afina na ponta e é feito de carvalho enegrecido com um estranho brilho metálico. Uma dúzia de cintas o adorna, feitas de cobre corroído, incrustadas de azinhavre e se desfazendo em alguns pontos. As cintas trazem runas de poder em relevo, algumas gastas ou encobertas.
P	O cajado ainda formiga de poder. Para desvendar seus mistérios você precisa…
C	… descobrir o formato das runas que faltam e das danificadas.
C	… substituir as cintas por novas, de etério com runas em relevo.
C	… aguentar firme enquanto um raio percorre o cajado, sintonizando-se com sua magia (você arrisca queimaduras graves ou, no mínimo, se assustar e soltá-lo).
C	… passar alguns dias praticando com o cajado carregado.
H3	O Cajado do Magnetismo
P	Carga: ◇◇◇
P	Quando <b><i>um raio percorre o cajado,</i></b> ele guarda
P	3 de Carga (máx. 3).
P	Quando <b><i>o cajado guarda Carga e você concentra sua</i></b> <b><i>vontade e seus sentidos através dele</i></b>, você sente ferro, aço, cobalto e níquel a alcance <i>próximo</i> e move esses objetos devagar e de forma desajeitada. Só consegue manipular itens que levantaria com uma das mãos.
P	Quando você <b><i>recorre ao poder guardado no</i></b> <b><i>cajado</i></b>, escolha 1:
B	Estender seus efeitos até alcance <i>longe</i>
B	Mover itens de forma rápida e súbita, veloz o bastante para atacar ou defender (<i>perigosa</i>)
B	Manipular um objeto de massa considerável, tanto quanto você conseguiria levantar do chão
P	Cada vez que recorrer ao poder do cajado, role
P	1d6. Se tirar mais que a Carga atual do
P	cajado, ele perde 1 de Carga.
P	48
