# minor-the-sylvan-web · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 05a21a27404d023df7eb72c2411d0eabb7e03d4c727e119c5abd6a2e0f4aeeb7
# title: Leśna Sieć
# nav_label: Leśna Sieć
# description: Leśna Sieć (The Sylvan Web): mniejsze arkanum – tęczowy mech w Wielkiej Puszczy, przez który twój umysł wędruje zmysłami lasu.
PAGE	521
H3	Kępa tęczowego mchu
P	<i>magiczna</i>
P	W Wielkiej Puszczy (Great Wood) można znaleźć zagajnik złożony z drzew wielu różnych gatunków, pod których koronami panuje półmrok, a ziemia jest guzowata od splątanych korzeni. W samym środku: kępa gęstego, wielobarwnego mchu.
P	Aby odkryć tajemnice tego miejsca, musisz…
C	… położyć się na mchu i pozwolić jego włóknom zrosnąć się z twoją skórą.
C	… pozwolić swojej świadomości odpłynąć w sam las, ryzykując, że się w nim zatracisz albo ściągniesz na siebie gniew wrogich duchów.
C	… przez całe tygodnie odwiedzać mech, pozwalając umysłowi dryfować i ucząc się postrzegać świat zmysłami lasu.
H3	Leśna Sieć
P	Gdy <b><i>kładziesz się na tęczowym mchu i posyłasz</i></b> <b><i>swój umysł w Wielką Puszczę</i></b>, powiedz, czego szukasz, i rzuć +WIS: <b>przy 10+</b> wybierz 3; <b>przy</b> <b>7–9</b> wybierz 1.
B	Dowiadujesz się, gdzie jest to, czego szukasz
B	Wyczuwasz, co ostatnio robiło to, czego szukasz, albo co dzieje się wokół tego
B	Odkrywasz coś nieoczekiwanego o lesie lub o tym, co można w nim znaleźć (zapytaj MG, czego się dowiadujesz)
B	Dryfujesz tylko mniej więcej godzinę (w przeciwnym razie cały dzień)
P	Czegokolwiek się dowiesz, jest to ograniczone zmysłami lasu i przez nie przefiltrowane.
P	28
