# minor-little-friend · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 963540651b9069effa3df1ed142b9cabdf3c50bce714dc67b0e7907f4cfc148a
# title: Pequeno Amigo
# nav_label: Pequeno Amigo
# description: Pequeno Amigo (Little Friend), arcano menor de Stonetop: um pergaminho dos Senhores da Geada que ensina a criar uma tulpa, pequeno espírito-constructo que o serve.
PAGE	527
H3	Um belo pergaminho
P	◇, <i>bela</i>, <i>frágil</i>
P	Dentro de um estojo de marfim entalhado repousa um pergaminho feito de lã fina, quase transparente. Está repleto de glifos e diagramas, impressos com tintas ricas de vermelho, preto e amarelo. Os diagramas parecem representar algum tipo de prática meditativa, que resulta numa espécie de espírito familiar?
P	Para desvendar os mistérios deste pergaminho, você precisa…
C	… ter algum talento para a magia.
C	… decifrar os glifos dos Senhores da Geada.
C	… passar alguns meses praticando as técnicas meditativas que ele descreve.
C	… descrever e nomear o pequeno espírito-constructo que deseja criar:
C	… sacrificar permanentemente 2 HP para investir a tulpa de “vida”.
H3	Pequeno Amigo
P	Você criou uma tulpa, que trata como seguidora. Escolha 2 etiquetas adicionais, um instinto, 2 movimentos adicionais e o custo dela.
ICON	icons/arcana.svg
H3	Tulpa
P	<i>Espírito, constructo, minúscula, ingênua, ansiosa</i>
C	<i>feroz gentil manhosa tímida teimosa</i>
P	<b>HP</b> 8; <b>Armadura</b> 0
P	<b>Dano</b> 1d4 (quando muito)
P	<b>Instinto</b> brincar aprender exibir-se
P	• Manifestar uma forma de poeira/neve/vapor
P	• Produzir luz (<i>área</i>, <i>alcance</i>)
P	• Carregar/manipular um item ◇
P	• Entregar uma mensagem
P	• Espionar alguém/alguma coisa
P	<b>Custo</b> respeito demonstrado experiências novas
C	conforto/compaixão (Lealdade: ◇◇◇ )
P	<b>HP</b>
P	Starts at 8
