# minor-witch-bottle · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 0a755a37d2a63ad9f22cec31ed926311d84c439d53ce30f00859b0c7d16d609c
# title: Botella de Bruja
# nav_label: Botella de Bruja
# description: Botella de Bruja (Witch Bottle), arcano menor de Stonetop: una vieja botella de vidrio plateado con la que puedes ejercer tu influjo sobre alguien a través de su pelo y sus pertenencias.
PAGE	529
H3	Una botella de vidrio plateado
P	◇, <i>frágil</i>, <i>mágico</i>
P	Mide unos 25 cm de alto, se estrecha en la parte superior y está hecha de un vidrio viejo y deformado, surcado de vetas plateadas, como los rastros que dejan las babosas. Los dibujos del vidrio parecen distintos cada vez que miras, casi como si se movieran mientras los observas. Te hace llorar los ojos y te da vueltas la cabeza.
P	Puedes desentrañar los secretos de esta vieja botella de vidrio, pero debes, o bien…
C	… encontrar a alguien que conozca su funcionamiento y conseguir que te lo enseñe; o bien…
C	… llenar la botella de agua de manantial y setas alucinógenas y dejarla macerar a oscuras durante quince días.
C	… beberte el contenido y arriesgarte a no aprender nada mientras sufres el malestar y las pesadillas.
H3	Botella de Bruja
P	Influjo ◇◇◇
P	Cuando <b><i>atas mechones del pelo de alguien alrededor de</i></b> <b><i>un objeto que haya hecho o poseído, les prendes fuego</i></b> <b><i>y los echas aún ardiendo en la botella vacía,</i></b> guarda 3 de Influjo sobre esa persona. Las cenizas siguen ardiendo y brillando hasta que se agota el Influjo. Gasta 1 de Influjo mientras pronuncias su verdadero nombre para…
B	Retorcer sus sentidos y hacerle percibir algo que no es cierto
B	Atormentarla con pesadillas hasta que se lave con lluvia o nieve
B	Hacer que una emoción crezca en su corazón, quizá hasta desbordarla
P	Si la persona sobre la que tienes Influjo encuentra y rompe la Botella de Bruja, sufrirás en tus carnes todos los tormentos que hayas infligido con ella.
P	44
