# minor-truth-seeds · zh-Hans · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: zh-Hans
# source_sha256: 5c4a114b0bde74f74d690285f35879935fa534fa09f81b224b889b72a14dcc38
# title: 真话种子
# nav_label: 真话种子
# description: 真话种子（Truth Seeds），石顶小秘宝：泽畔民间故事里的魔种荚，吃下后违约便爆出格威尔荨麻。
PAGE	508
H3	一则民间故事
P	有这么一个老故事，说泽畔一位老药草人骗一头沼巨魔吃下一颗被施法的种荚。她答应去给巨魔再找食物，如果他答应然后放她走。当然，巨魔食言，想吃她，但种荚在他这样做时爆成一团格威尔荨麻。
P	你可以学会被施法种荚的秘密，但需要下列之一：
C	一位浸淫于传说的泽畔草药师来教你仪式
C	一缕格威尔荨麻的精魂，友善或被缚，来揭示它诞生的秘密
H3	真话种子
P	当你<b><i>把一对格威尔荨麻种荚浸在</i></b> <b><i>自己的血里，对着它们低语秘密，并</i></b> <b><i>说出权能之词</i></b>时，它们变成真话种子
P	（<i>魔法）</i>。
P	当你和另一人<b><i>各吃一颗真话种子并</i></b> <b><i>彼此许诺</i></b>时，种子留在你们腹中，确保诺言被遵守。
P	当你<b><i>违背诺言</i></b>时，腹中的真话种子猛烈发芽成一株长成的格威尔荨麻，带着优势造成1d10+3伤害（<i>狼藉</i>，忽略护甲），而你现在身上长着一株格威尔荨麻。
P	若<b><i>对方违背诺言</i></b>，他们遭受同样的命运。
P	2
