# minor-thunderbolt-bow · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 5146230ac1ac533ed051ae2a06ef4b5a47f8067e52b187ae4c80ad6ad7627690
# title: 雷の弓
# nav_label: 雷の弓
# description: 弦の代わりに稲妻を張り雷を放つ金属の弓、小アルカナム（Thunderbolt Bow）。
PAGE	532
H3	弦のない弓
P	◇、<i>魔法</i>
P	淡い青色の金属でできた短い平弓で、弦が張られていないのに硬く、優美に湾曲している。
P	弦を<i>掛けられる</i>ような弭さえない。
P	ほとんど役に立たないように見えるが、この弓には見かけ以上のものがある。その神秘を解き明かすには、あなたは……
C	……弓と正しく同調したエーテリウムの手袋を手に入れねばならない。
C	……弓を起動する秘密の言葉を学ばねばならない。
C	……弓や自分自身を損なう危険を冒して、弓に稲妻をチャージせねばならない。
C	……数週間練習せねばならない。その過程であらゆる種類の巻き添えの被害の危険を冒して。
H3	雷の弓
P	◇、<i>遠距離</i>、<i>強打</i>、<i>魔法</i>、<i>騒々しい</i>、<i>装填</i>、アーマー無視、◇ 十分に残っている、残り少ない、尽きた ◇◇
P	<b><i>秘密の言葉を唱える</i></b>とき、弓は起動し、不気味に唸る。それから<b><i>エーテリウムの手袋をはめて弦が</i></b><b><i>あるべき場所を握る</i></b>とき、両端の間にぱちぱちと音を立てる稲妻の線が現れる。
P	<b><i>稲妻を引き絞る</i></b>とき、矢があるべき場所に雷が形作られる。深くひと息吸う間に現れ、その後あなたは射放つことができる。
P	弾薬を補充するには、弓に稲妻をチャージせねばならない。
P	<b><i>少なくとも深呼吸10回分の間</i></b><b><i>稲妻を引き絞った</i></b>とき、弾薬を使い果たす。次の一射は+1d4ダメージ（+<i>範囲</i>、+<i>危険</i>）を与えるが、射放つでピンゾロを出すと、弓は爆発する（3d6ダメージ、<i>間合い</i>、<i>範囲</i>、<i>強打</i>、<i>騒々しい</i>）。
