# minor-revealing-light · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 487e7d52bf295acc0057955932fb09a6bf89af672a340ae3a9da0aac8b6e8300
# title: Światło Objawienia
# nav_label: Światło Objawienia
# description: Mniejsze arkanum Światło Objawienia (Revealing Light): złota lampa na masło mamucie, której blask odsłania duchy, iluzje, zmiennokształtnych i kłamstwa.
PAGE	527
H3	Złota lampa maślana
P	◇◇ <b>,</b> <i>magiczna</i><b>,</b> <i>piękna</i><b>,</b> <i>zasięg</i><b>,</b> <i>obszar</i>
P	Przerośnięta, bogato zdobiona lampa w kształcie kielicha o szerokiej czaszy, jak te lampy, w których na północy palą w rytuałach masło mamucie.
P	Jest warta fortunę (Wartość 4), ale kryje w sobie więcej, niż widać na pierwszy rzut oka. By odkryć jej sekrety, musisz…
C	… zasięgnąć rady ucznia Władców Szronu (Rime Lords) (albo jednej z ich skarbnic wiedzy), by poznać przepis i mantrę, dzięki którym lampa działa.
C	… zdobyć szczególne składniki klarowanego masła mamuciego, które spala się w lampie (Wartość 1).
C	… zaryzykować zwrócenie uwagi jednej lub kilku zjaw, gdy po raz pierwszy zapalisz lampę i wypowiesz inkantację.
H3	Światło Objawienia
P	Gdy <b><i>spędzisz dzień na przygotowywaniu szczególnych</i></b> <b><i>składników</i></b> (Wartość 1) <b><i>według tajnego</i></b> <b><i>przepisu</i></b>, tworzysz ◇ słój magicznego masła (◇◇◇
P	◇◇ godziny).
P	Gdy <b><i>zapalasz lampę magicznym masłem</i></b> <b><i>i intonujesz mantrę</i></b>, lampa daje blade, zimne światło, dopóki nie przestaniesz śpiewać.
P	W tym świetle:
B	Aktywne duchy są widoczne, nawet jeśli się nie przejawiają
B	Iluzje, czary iluzji i zasłony zostają zdarte
B	Zmiennokształtnych widać takimi, jakimi są naprawdę
B	Ukryte rzeczy promieniują jasną aurą
B	Wypowiedziane kłamstwa widać jako czarny dym, który snuje się przy ziemi Niestety, światło ściąga gniew wszelkich pobliskich zjaw (albo innych wygłodniałych nieumarłych duchów).
P	40
