# minor-hand-of-aals-sannan · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 2d2efb822e688b20e19ee93e6a9a75f75d5ef49203e5fb49fb8859ad8f119f2b
# title: Main d'Aals Sannan
# nav_label: Main d'Aals Sannan
# description: La Main d'Aals Sannan (Hand of Aals Sannan), arcane mineur : une relique momifiée qui restaure celui qui la touche, au prix de son âme.
PAGE	536
H3	Une main momifiée
P	◇, <i>magique, fragile</i>
P	Trouvée dans une boîte de plomb gravée, cette relique macabre est ornée de trois anneaux d'or (Valeur 2).
P	Chaque anneau possède un chaton vide, comme s'il était destiné à recevoir une pierre. Seuls des éclats sombres, semblables à de la rouille, subsistent.
P	La main vibre encore d'une vitalité impie. Pour en percer les mystères, tu dois...
C	… apprendre le nom du sorcier à qui appartenait cette main.
C	… apprendre les mots de pouvoir et le procédé ci-dessous.
C	… en trois nuits distinctes, tremper un morceau différent de cristal rouge (Valeur 1) dans un bol de ton propre sang frais (5 HP, marque un handicap), en chantant des mots de pouvoir toute la nuit durant, puis placer le cristal encore dégoulinant dans l'un des anneaux qui ornent la main.
H3	Main d'Aals Sannan
P	Quand tu (et toi seul) <b><i>touches la main et</i></b> <b><i>prononces le nom d'Aals Sannan,</i></b> les trois cristaux s'assombrissent et le pouvoir du sorcier depuis longtemps disparu t'infuse. Remets tes HP au maximum, efface tes handicaps, et guéris toute blessure problématique (si tu étais mourant, tu ne l'es plus). Marque aussi l'une des cases suivantes :
P	◇ Une part de ton apparence change, pour ressembler davantage à Aals Sannan.
P	◇ Ton instinct change, pour devenir quelque chose de plus cynique/manipulateur/ambitieux.
P	◇ Ton cœur se durcit envers quelqu'un qui t'est cher, si bien que tu ne le vois plus désormais que comme un outil ou une menace.
P	Quand <b><i>les trois ont été marquées</i></b>, les trois cristaux tombent en poussière. Efface les trois marques, mais leurs effets demeurent. Efface aussi les trois dernières cases à cocher au recto de cette carte. Tant que tu n'as pas remplacé les trois cristaux, tu ne peux pas utiliser cet arcane.
