# minor-fetchs-mask · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 566d48f52a56fa1adc910531afb21c47654fba3f9188395f841cc6d6af9ed4ab
# title: Maska Sobowtóra
# nav_label: Maska Sobowtóra
# description: Maska Sobowtóra (Fetch's Mask): mniejsze arkanum – niepokojąca maska, która pozwala przybrać postać innej osoby i wyczytać, czego oczekują jej bliscy.
PAGE	529
H3	Niepokojąca maska
P	◇, jeśli schowana; <i>magiczna</i> Ta sztywna, skórzasta maska wygląda trochę jak roztopiony wosk. W czoło wtopiona jest duża perłowa kula. Gdy zamierzasz ją założyć, zdaje się szeptać.
P	Ta maska kryje więcej, niż widać na pierwszy rzut oka. Aby odkryć jej sekrety, musisz…
C	… założyć maskę w samotności i nosić ją niezauważony przez noc i dzień.
C	… obserwować kogoś niepostrzeżenie przez kilka godzin, mając na sobie maskę.
C	… powierzyć masce sekret, coś, czego nikt inny o tobie nie wie (powiedz MG i pozostałym graczom, co to jest).
C	… powierzyć masce cudzy sekret, coś, czego obiecałeś nigdy nie zdradzić (powiedz MG i pozostałym graczom, co to jest).
H3	Maska Sobowtóra
P	Rozeznanie ◇◇◇
P	Gdy <b><i>nosisz maskę i zjadasz czyjeś włosy,</i></b> <b><i>krew, paznokieć itp.</i></b>, ty i maska stajecie się jego bezbłędnym sobowtórem do następnego wschodu słońca albo do zdjęcia maski.
P	Gdy <b><i>wchodzisz w interakcję z BN, który zna</i></b> <b><i>osobę, której oblicze nosisz</i></b>, rzuć +CHA: <b>przy 10+</b> zyskujesz zapas 3 Rozeznania; <b>przy 7–9</b> zyskujesz zapas 1 Rozeznania; <b>przy 6-</b> BN nabiera głębokich podejrzeń. Podczas interakcji z nim wydawaj Rozeznanie 1 za 1, by zapytać MG:
B	Czego oczekuje, że zrobię/powiem?
B	Czego się po mnie spodziewa/czego ode mnie chce?
B	Jaki sekret przed nim ukrywam?
P	Gdy <b><i>zdejmujesz maskę po noszeniu</i></b> <b><i>czyjegoś oblicza</i></b>, rzuć +CON: <b>przy 10+</b> boli, ale schodzi bez szkody; <b>przy 7–9</b> twoja twarz jest obtarta i obolała, zaznacz osłabienie; <b>przy 6-</b> tracisz 1d4 HP, zaznacz osłabienie, a maska zostawia trwałe, charakterystyczne blizny.
