# minor-shattering-words-of-aalz-childric · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 90466b869d4dd63fef8b8ba7510e93f81dd2542b6fdf5001cf81b04be76c218d
# title: アールズ・チルドリックの砕きの言葉
# nav_label: アールズ・チルドリックの砕きの言葉
# description: 石を粉々に砕く巨大なルーンを刻んだ柱、小アルカナム（Shattering Words of Aalz Childric）。
PAGE	513
H3	ルーンの刻まれた柱
P	<i>魔法</i>
P	巨大な廃砦の地下深くに、丸天井の部屋がある。かつては貯蔵庫だったが、遠い遠い昔に略奪された。すぐ内側に巨人の骸骨がうつ伏せに横たわり、頭蓋と肋骨は叩き潰されている。
P	4本の柱が天井を支え、力に脈打つ一連の巨大なルーンが刻まれている。その秘密を解き明かすことはできる。だが……
C	……数日かけてルーンを研究し、その並びを覚えねばならない。
C	……数週間、それらに満ちる魔法について瞑想せねばならない。
C	……ルーンに込められた呪文を発動させ、建物全体を崩落させる危険を冒す。
H3	アールズ・チルドリックの砕きの言葉
P	<b><i>アールズ・チルドリックの砕きの言葉を</i></b><b><i>石や岩に刻む</i></b>とき、鍵となる言葉か句を定める。
P	あなたか他の者が<b><i>鍵となる言葉か句を唱え、</i></b><b><i>呪文の発動を念じた</i></b>とき、あなたは
P	+CONでロールする。<b>10+なら</b>、ルーンの刻まれた石は砕け、たちまち瓦礫と化す。<b>7〜9なら</b>、石はひび割れて歪み、ゆっくりといくつもの塊に割れていく。
