# minor-goldleaf-cloak · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 0ffdc246939001d8a9fe743d0a27e8171dfed39a346cb88c5aef682be0075389
# title: Płaszcz ze Złotych Liści
# nav_label: Płaszcz ze Złotych Liści
# description: Płaszcz ze Złotych Liści (Goldleaf Cloak), mniejsze arkanum ze Stonetop: liść ze Złotego Dębu wyprawiony w płaszcz, który chroni siły życiowe i przywraca życie.
PAGE	517
H3	Olbrzymi liść dębu
P	◇, <i>magiczny</i>
P	Długi na mniej więcej 2 metry, woskowaty i sztywny, mieniący się złotą opalizacją. Czy to naprawdę liść ze Złotego Dębu (Golden Oak)?
P	Możesz przerobić liść w cudowny płaszcz, ale aby to zrobić, musisz...
C	… poznać sekrety jego wyrobu (od Fae, ducha dziczy albo może od ulubionego sługi Danu).
C	… wyprawić liść mieszaniną wody wapiennej, wronich odchodów, mózgu niedźwiedzia jaskiniowego i własnej krwi.
C	… kazać go dopasować do twoich dokładnych wymiarów krawcowi o <i>wyjątkowym</i> kunszcie.
H3	Płaszcz ze Złotych Liści
P	◇, <i>ciepły</i>, <i>magiczny</i>
P	Gdy <b><i>nosisz płaszcz ze złotych liści, który</i></b> <b><i>sam wyprawiłeś i który dopasowano do twoich</i></b> <b><i>dokładnych wymiarów</i></b>, wszystkie poniższe są prawdą:
B	Jesteś odporny na efekty, które wysysają, kradną lub gaszą twoją witalność, energię lub siłę życiową.
B	Jesteś odporny na efekty, które uspokajają lub tłumią twoje emocje.
B	Otacza cię nieustanna złota poświata (<i>ręka</i>, <i>obszar</i>), przez co niemal nie da się ukryć.
P	Gdy <b><i>umierasz i zostajesz pochowany w ziemi,</i></b> <b><i>owinięty w płaszcz ze złotych liści</i></b>, wracasz do życia, jakbyś został pochowany u korzeni Złotego Dębu. Twój płaszcz jednak rozkłada się w próchnicę i strzępy.
