# minor-cold-mind-iron-body · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 2ec884aaa4d10c054e5918043da576e12fc29e02a1fd523c755f1542f1aec28b
# title: Esprit froid, corps de fer
# nav_label: Esprit froid, corps de fer
# description: Arcane mineur : un chapelet de prière des Seigneurs du Givre qui accorde une Préparation ascétique au jeûne et à la méditation.
PAGE	526
H3	Un chapelet de prière
P	◇ <b>,</b> <i>magique</i><b>,</b> <i>magnifique</i>
P	Un cordon de près de 3 mètres, enfilé de perles de bronze. Chaque perle est gravée d'un glyphe différent et d'une figure dans une posture méditative unique.
P	Si tu fais glisser tes doigts le long des perles, tu ressens une impression de quiétude — mais aussi un poids implacable de jugement.
P	Pour percer les secrets du chapelet de prière, tu dois...
C	… déchiffrer les glyphes des Seigneurs du Givre gravés en relief sur les perles.
C	… apprendre les chants méditatifs qui accompagnent les perles (d'une source de savoir ou de quelqu'un qui les connaît).
C	… passer une saison en isolement, nu et à jeun, méditant avec le chapelet de prière, au risque de la maladie, des accidents et des mésaventures.
H3	Esprit froid, corps de fer
P	Préparation ◇◇◇
P	Quand tu <b><i>Renforces en passant du temps libre en isolement, à jeun et en méditation avec le chapelet de prière</i></b>, détiens de la Préparation (comme le prévoit la manœuvre Renforcer).
P	Tant que tu <b><i>détiens au moins 1 Préparation</i></b>, tu n'as besoin que d'une heure de sommeil par nuit, peux endurer le froid sans vêtements <i>chauds</i>, et n'as pas besoin de consommer de fournitures ou de provisions en voyageant ou en campant. Après environ dix jours d'une telle vie rude, perds 1 Préparation.
P	De plus, tu peux dépenser 1 Préparation pour :
B	Ajouter +1 à n'importe quel jet, une fois effectué (maximum +1 par jet)
B	Effacer un handicap, ou refuser d'en cocher un
B	Accomplir un exploit d'endurance extrême
B	Ignorer les dégâts d'une source d'énergie élémentaire (feu, froid, foudre, etc.)
