# minor-plaster-of-joining · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 4f8de558a71a734a0da6169af506d41a006fb6e0d4c76361c697498c782b4f87
# title: Argamasa de Unión
# nav_label: Argamasa de Unión
# description: Argamasa de Unión (Plaster of Joining), arcano menor de Stonetop: una urna de cerámica cuyo espíritu ctónico te enseña a preparar una argamasa que funde la piedra.
PAGE	526
H3	Una fina urna de cerámica
P	◇ <b>,</b> <i>hermoso</i><b>,</b> <i>frágil</i><b>,</b> <i>mágico</i>
P	Una vasija de cerámica fina, del tamaño de una olla pequeña.
P	Su vidriado es una mezcla maravillosa de dibujos y brillos. La tapa encaja bien, aunque es aparatosa de manejar y cuesta abrirla una vez cerrada.
P	Tienes la sensación de que se hizo para unas manos mucho más grandes que las tuyas.
P	Para desentrañar los secretos de la urna, debes...
C	… comulgar con el espíritu ctónico que mora en su interior (<b>Instinto</b> acaparar secretos).
C	… convencerlo de que te enseñe tanto la receta secreta como la canción necesarias para que su magia funcione.
C	… conseguir los reactivos que exige la receta (Valor 1).
C	… lograr cantar la canción secreta durante un día y una noche, sin pausa.
H3	Argamasa de Unión
P	Usos ◇◇◇
P	Cuando <b><i>viertes agua, una pizca de sangre y reactivos especiales (Valor 1) en la urna y cantas sobre</i></b> <b><i>ella durante un día y una noche enteros</i></b>, la urna gana 1 uso (máximo 3 usos) de argamasa.
P	Cuando <b><i>usas la argamasa para unir dos o más trozos</i></b> <b><i>de piedra, roca o cristal</i></b> y dejas que fragüe unas horas, los trozos se funden entre sí. Los materiales distintos muestran una juntura natural y gradual.
P	Los materiales similares se funden sin dejar juntura alguna.
P	Un solo uso de argamasa puede cubrir una zona de unas pocas pulgadas de ancho y de alto. Varios usos pueden unir trozos de piedra más grandes. La argamasa sin usar se conserva indefinidamente mientras la urna siga sellada.
