# minor-the-green-lords-shade · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 6bd4cf91ed76caef05ec79c4919e1ca845d0668c4dc8be3550993d3752ad597f
# title: Der Schatten des Grünen Herrn
# nav_label: Der Schatten des Grünen Herrn
# description: Der Schatten des Grünen Herrn (The Green Lord's Shade), ein kleines Arkanum aus Stonetop: ein gehörnter Schädel mit uralten Glyphen, dessen Schatten Fragen beantwortet – wenn er dafür in dir die Freuden des Lebens kosten darf.
PAGE	520
H3	Ein seltsamer Schädel mit Geweih
P	<i>unbeweglich, magisch</i>
P	Ein Schädel, so groß wie ein Pferdekopf, aber eindeutig kein Pferd – auch kein Drake, kein Wolf, kein Bär. Denn keines dieser Tiere trüge ein so mächtiges Geweih wie das, welches an diesem Schädel sitzt.
P	Bei genauem Hinsehen erkennt man die Wirbel und Windungen uralter Glyphen, die in den Knochen geritzt sind. Wer in seiner Nähe ist, spürt oft einen Luftzug, als hätte jemand eine Tür offen gelassen.
P	Um die Geheimnisse dieser Reliquie zu entschlüsseln, musst du …
C	… den Namen des Schattens erfahren, dem dieser Schädel gehörte; oder …
C	… den Spielzug Die Geister rufen des Gesegneten nutzen, um den Schatten herbeizurufen.
H3	Der Schatten des Grünen Herrn
P	Wenn du <b><i>eine Opfergabe aus gutem Schnaps, frischem</i></b> <b><i>Obst oder frisch gebratenem Fleisch darbringst und den Schatten des</i></b> <b><i>Schädels herbeirufst</i></b>, manifestiert er sich vor dir in den Schatten.
P	Der Schatten weiß viel über die alten Zeiten, die Grünen Herren (Green Lords) und ihre Werke. Er hat keine Macht, kann aber Fragen beantworten. Bevor er das tut, verlangt er das Recht, dich zu „reiten“ und die Freuden des Lebens zu erfahren. (<b>Instinkt</b> seine immer ausgefalleneren Gelüste zu stillen.)
P	Solange er dich reitet, verständigt sich der Schatten nur über Triebe und Begierden. Wenn er <b><i>dich drängt,</i></b> <b><i>gegen deinen Willen zu handeln</i></b>, kreuze XP an, wenn du gehorchst. Widerstehst du, trotzt du der Gefahr.
