# minor-convocation-of-the-soil · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: Beschwörung des Bodens
# nav_label: Beschwörung des Bodens
# description: Beschwörung des Bodens (Convocation of the Soil), ein kleines Arkanum aus Stonetop: eine versunkene Steintafel mit einem Blutritual, das die Geister der Erde weckt und die Ernte mehrt.
PAGE	524
H3	Eine versunkene Tafel
P	<i>unbeweglich</i>
P	Ein großer alter Steinbrocken, vielleicht 1,5 m breit, bedeckt mit Schlamm und Algen. Darauf sind Erbauerrunen, kaum sichtbar. Runen für die Erde, für Geister und für Erneuerung.
P	Die Tafel enthüllt den Ablauf eines Rituals, das du lernen kannst, wenn du …
C	… die Tafel aus dem Morast ziehst.
C	… sie sorgfältig säuberst.
C	… die Erbauerrunen entzifferst.
C	… die Runen ein paar Wochen lang studierst.
C	… übst, den Zauber zu wirken, auf die Gefahr hin, dem Boden in der Nähe zu schaden oder etwas Gefährliches in der Erde zu wecken.
H3	Beschwörung des Bodens
P	Wenn du <b><i>dein Blut auf den Boden vergießt und</i></b> <b><i>die Worte der Beschwörung sprichst</i></b>, regen sich die Geister des Bodens und erwachen und erfüllen den Boden mit Leben, Energie und Nährstoffen.
P	Wenn du <b><i>diesen Zauber im frühen Frühjahr auf die Felder</i></b> <b><i>wirkst und dabei beängstigend viel von deinem Blut vergießt</i></b>, kreuze alle drei Schwächungen an und verliere alle HP bis auf 1.
P	Gibt die Siedlung 1 Überschuss aus, um die Brachfelder zu bestellen, bringt die Ernte in diesem Herbst
P	1d4+1 zusätzlichen Überschuss.
P	Allerdings musst du +WIS würfeln: <b>bei 10+</b> gibt es keine Konsequenz; <b>bei 7-9</b> musst du vor der Sommersonnenwende den Boden mit dem Lebensblut eines großen, gesunden Tieres tränken (etwa eines Pferdes, Maultiers, Wisents oder Auerochsen), sonst verdirbt die zusätzliche Ernte und der zusätzliche Überschuss geht verloren; <b>bei 6-</b> wirkt der Zauber, doch du weckst einen gefährlichen Geist oder ein gefährliches Gewächs im Boden oder befreist ein in der Erde gefangenes Übel.
