# minor-the-six-locks-of-sajua · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: c055199618a593b8fdfd5acd1ca7a0eb0c42c1f3ef26f1a44ef2373d20511ee1
# title: Die Sechs Schlösser von Sajua
# nav_label: Die Sechs Schlösser von Sajua
# description: Die Sechs Schlösser von Sajua (The Six Locks of Sajua), ein kleines Arkanum aus Stonetop: eine Kette rostiger Vorhängeschlösser, in denen die Seelen Sterbender gefangen werden.
PAGE	515
H3	Eine Kette rostiger Schlösser
P	◇, <i>magisch</i>
P	Eine Kette aus sechs Gliedern, an jedem Glied hängt ein korrodiertes Vorhängeschloss aus Bronze. 1d4+1 Schlösser tragen ein stilisiertes Gesicht, erstarrt zu einer rostigen Grimasse. Die Schlüssel zu diesen Schlössern sind seit Zeitaltern verloren.
P	Wenn du <b><i>eines der Schlösser mit Gesicht hältst und</i></b> <b><i>ihm in die Augen blickst</i></b>, hörst du die Stimme der verstorbenen Seele, die darin gebunden ist: hasserfüllt, verzweifelt, flehend, befreit zu werden.
P	Du kannst diese Schlösser meistern, indem du …
C	… einen der Schatten überredest zu verraten, wie er gefangen wurde.
C	… einen Schatten überredest zu verraten, was geschieht, wenn ein Schloss geöffnet wird.
C	… einen Weg findest, die Schlösser zu öffnen.
H3	Die Sechs Schlösser von Sajua
P	Unruhe: ◇◇◇◇◇◇◇
P	Wenn du <b><i>das Blut eines Sterbenden auf ein</i></b> <b><i>offenes Schloss von Sajua schmierst und das Schloss dann schließt</i></b>, würfle
P	+CON: <b>bei 10+</b> wird seine Seele im Schloss gebunden;
P	<b>bei 7-9</b> wird seine Seele gebunden, doch alles gewöhnliche Metall in deiner Gegenwart rostet oder läuft an, korrodiert und wird schwächer.
P	Wenn du <b><i>einer gebundenen Seele ein Versprechen abringst</i></b>
P	<b><i>und dann das Schloss öffnest, das sie bindet</i></b>, ist die Seele gezwungen, den Wortlaut ihres Versprechens zu erfüllen, bevor sie ihrer Wege geht. Sag der SL, sie soll sie als Geist behandeln (wenn auch nicht unbedingt als Gefolgsmann); das offene Schloss dient ihr als Anker, zumindest vorerst.
P	Jedes Mal, wenn du eine Seele freilässt, kreuze 1 Unruhe an und würfle 1d6. Würfelst du weniger als deine Unruhe, hörst du in der Ferne den Ruf des Bleichen Jägers (Pale Hunter). Rechne bald mit einem Besuch.
P	16
