# minor-preserving-runes · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: f26f9cb27369d3bec8856f18ffaa88e916cdcb2ef087c1b006fe580f0e442458
# title: Runas de Preservación
# nav_label: Runas de Preservación
# description: Runas de Preservación (Preserving Runes), arcano menor de Stonetop: las runas ocultas de una cámara intemporal que protegen del paso del tiempo el contenido de una sala o un recipiente.
PAGE	518
H3	Una cámara intemporal
P	<i>mágico</i>
P	En lo alto de las colinas o las montañas, dos enormes puertas de piedra se abren en la ladera. Las marcas del exterior están desvaídas y cubiertas de liquen. Las puertas no están cerradas con llave; una está algo entornada. Dentro, la cámara y su contenido están intactos por el tiempo, libres de polvo y de moho. Está claro que aquí hay magia.
P	Para desentrañar los secretos de la inmutabilidad de este lugar…
C	… encuentra y revela las runas ocultas que anclan la magia.
C	… pasa unas horas copiándolas, con el riesgo de cometer un error.
C	… pasa semanas trazando las runas sobre objetos, hasta que brillen plateadas y se desvanezcan.
H3	Runas de Preservación
P	Cuando <b><i>trazas las runas por el interior de una</i></b> <b><i>sala o un recipiente</i></b>, brillan plateadas y se desvanecen, protegiendo el contenido del polvo, la descomposición, la herrumbre, etc. Pierde 1 HP, más 1 HP por cada una de las siguientes que se cumpla:
B	El recipiente o la sala mide más de un par de metros en alguna dimensión
B	El recipiente es portátil (si no, el efecto termina si se mueve)
B	El efecto dura indefinidamente, mientras las runas estén intactas (si no, empieza cuando se sella la sala o el recipiente y termina cuando se abre)
P	Una vez colocadas las runas, tira +CON: <b>con</b> <b>10+</b>, recuperas los HP perdidos con normalidad; <b>con 7-9</b>, no puedes recuperar los HP perdidos hasta que pase una estación <i>o</i> termine el efecto, lo que ocurra antes; <b>con 6-</b>, no puedes recuperar los HP perdidos hasta que termine el efecto
P	y después pase una estación (y no marcas XP).
