# minor-bronze-protector · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 6040d04858ebda494bdc51cbdd45697a72beb5652974cf71cc71c9a495241d1c
# title: O Protetor de Bronze
# nav_label: O Protetor de Bronze
# description: O Protetor de Bronze (Bronze Protector), arcano menor de Stonetop: um homem de metal quebrado que, restaurado e animado pelo espírito da sua lareira, se torna um guardião leal.
PAGE	533
H3	Um homem de metal
P	<i>mágica</i>, <i>frágil</i>
P	Uma estátua de bronze, mas não bem uma estátua, e sim pedaços de armadura habilmente unidos em torno de um esqueleto de canos entrelaçados. E o “peito” é menos um peitoral que um pequeno fogão barrigudo. Runas intrincadas mal se veem sob a pátina da coisa.
P	Está amassado, rachado e despedaçado, mas uma busca cuidadosa encontrará todas as peças.
P	Isto claramente não é uma simples estátua, mas para desvendar seus mistérios você precisa…
C	… consertar o corpo, o que leva uma estação inteira para um ferreiro <i>excepcional</i> (Valor 3).
C	… passar algumas semanas consertando as runas, arriscando um erro que as torne ineficazes ou instáveis.
C	… convencer o espírito da sua própria lareira a habitar o fogão e animar o constructo.
H3	O Protetor de Bronze
P	Prontidão: ◇◇◇◇
P	Enquanto <b><i>houver fogo ardendo no peito em forma de fogão</i></b>, o espírito da lareira animará o constructo. Trate-o como um seguidor.
ICON	icons/construct.svg
H3	Protetor de bronze
P	<i>Constructo, espírito, durável, vigilante,</i> <i>dominador, mudo, crédulo</i>
P	<b>HP</b> 13; <b>Armadura</b> 3 (metal)
P	<b>Dano</b> pancada 1d8 (<i>mão</i>)
P	<b>Qualidades especiais</b> à prova de fogo; guarda +1 de Prontidão com 7+ ao Defender; precisa de uma forja e ferramentas para recuperar HP <b>Instinto</b> ser zeloso demais ao protegê-lo
P	• Assomar-se ameaçadoramente, soltando fumaça
P	• Iniciar incêndios, causar danos colaterais
P	• Ficar sem combustível
P	<b>Custo</b> gratidão profusa (Lealdade: ◇◇◇ )
P	<b>HP</b>
P	Starts at 13
