# minor-the-tomb-bogs-mark · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 0a5ce5a9e855707c25f6e8619c195ec33d68d866df7b67265204986bbdb87ba2
# title: Znamię Grobowego Bagna
# nav_label: Znamię Grobowego Bagna
# description: Znamię Grobowego Bagna (The Tomb-bog's Mark): mniejsze arkanum – błotem z torfowego kopca naznaczasz winnego geasem, którego złamanie oznacza śmierć.
PAGE	511
H3	Posępny torfowy kopiec
P	Niedaleko Skraju Moczarów (Marshedge), kawałek w głąb Trzęsawiska Ferriera (Ferrier's Fen), leży torfowy kopiec, na którym nie gniazdują ptaki i nie kwitną kwiaty. Od założenia miasta mieszkańcy Skraju Moczarów grzebią tu żywcem pewnych przestępców.
P	Z biegiem lat ziemia zrodziła ducha, który łaknie ostatnich oddechów skazańców (<i>Księga II</i>, str. 85). Jest młody i gorliwy, i można go nasłać na przestępców, ale tylko jeśli...
C	… znajdziesz sposób, by się z nim porozumieć.
C	… przekonasz go, że użyjesz jego znamienia tylko, by potępić winnych.
H3	Znamię Grobowego Bagna
P	Gdy <b><i>błotem z grobowego bagna naznaczasz</i></b> <b><i>kogoś znakiem Aratis i ogłaszasz</i></b> <b><i>go winnym przestępstwa</i></b>, możesz nałożyć na niego geas. Sformułuj go jako jedno z poniższych:
B	Nigdy więcej nie wolno ci ____.
B	Od tej pory zawsze, gdy masz okazję, musisz starać się ____.
P	Jeśli <b><i>nie zastosuje się do geasu</i></b>, jego życie przepada, a duch grobowego bagna wytropi go i udusi.
P	Jeśli <b><i>udowodni swą niewinność</i></b> <b><i>duchowi grobowego bagna</i></b>, przepada zamiast tego twoje życie.
P	8
