# minor-convocation-of-the-soil · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: A Convocação do Solo
# nav_label: A Convocação do Solo
# description: A Convocação do Solo (Convocation of the Soil), arcano menor de Stonetop: um ritual gravado numa tábua afundada que desperta os espíritos da terra e enriquece a colheita.
PAGE	524
H3	Uma tábua afundada
P	<i>imóvel</i>
P	Um bloco grande e velho de pedra, com talvez um metro e meio de largura, coberto de lama e algas. Há runas dos Construtores nele, quase invisíveis. Runas da terra, dos espíritos e da renovação.
P	A tábua revela o funcionamento de um ritual, que você pode aprender se…
C	… tirar a tábua do lodo.
C	… limpá-la com cuidado.
C	… decifrar as runas dos Construtores.
C	… estudar as runas por algumas semanas.
C	… praticar o lançamento do feitiço, arriscando ferir o solo próximo ou despertar algo perigoso da terra.
H3	A Convocação do Solo
P	Quando você <b><i>derrama seu sangue no solo e pronuncia</i></b> <b><i>as palavras da convocação</i></b>, os espíritos do solo se agitam e despertam, enchendo a terra de vida, energia e nutrientes.
P	Quando você <b><i>lança este feitiço nos campos no começo</i></b> <b><i>da primavera, derramando uma quantidade assustadora do seu sangue</i></b>, marque as três debilidades e perca todos os HP menos 1.
P	Se o povoado gastar 1 de Excedente para plantar nos campos em pousio, a colheita deste outono gerará
P	1d4+1 de Excedente extra.
P	Porém, você precisa rolar +WIS: <b>com 10+</b>, não há consequência; <b>com 7-9</b>, antes do solstício de verão, você precisa regar o solo com o sangue vital de uma fera grande e saudável (como um cavalo, uma mula, um bisão ou um auroque), ou então as safras extras fracassarão e o Excedente extra se perderá; <b>com 6-</b>, o feitiço funciona, mas você desperta algum espírito ou crescimento perigoso do solo, ou liberta algum mal aprisionado na terra.
