# minor-peacebond · pt-BR · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pt-BR
# source_sha256: 593033fb6f630dbae6870a3fc6944a32b29de7158f84a23477c3bcf3587ae464
# title: O Selo de Paz
# nav_label: O Selo de Paz
# description: O Selo de Paz (Peacebond), arcano menor de Stonetop: glifos entalhados numa caverna selada que sufocam toda violência em um lugar — inclusive a sua.
PAGE	519
H3	Uma caverna selada
P	<i>mágica</i>
P	No alto dos morros ou das montanhas, dá para encontrar a boca de uma caverna tapada com tijolos. Lá dentro jazem dezenas de cadáveres, preservados por séculos pelo frio.
P	Muitos têm deformações na mandíbula, dentes grandes demais, dedos alongados que afinam em garras. Poucos mostram sinais de violência; parecem ter simplesmente se deitado e morrido.
P	De fato, os glifos sinuosos entalhados por todas as paredes da caverna drenam sua vontade de lutar, de brigar, de fazer muita… coisa. Você pode aprender os mistérios deles, mas…
C	… levará dias de transcrição cuidadosa, assombrado por sombras taciturnas.
C	… você corre o risco de sucumbir ao tédio do lugar.
H3	O Selo de Paz
P	Quando você <b><i>marca um lugar com os glifos do</i></b> <b><i>selo de paz</i></b>, a violência (mesmo em defesa própria) fica suprimida na área enquanto os glifos permanecerem. Quanto mais tempo alguém fica numa área selada pela paz, e quanto mais entrelaçados forem os glifos, maior o efeito.
P	Quando você <b><i>tenta cometer violência dentro de</i></b>
P	<b><i>uma área selada pela paz, ou ferir os próprios glifos</i></b>
P	<b><i>do selo de paz</i></b>, você hesita.
P	Se você <b><i>impuser sua vontade para continuar</i></b>, perca 1d4 HP e role +SAB: <b>com 10+</b>, vá em frente; <b>com 7-9</b>, você age, mas tem desvantagem em quaisquer rolagens para cometer violência (inclusive de dano); <b>com 6-</b>, você não consegue agir e marca <i>atordoado</i>.
