# minor-bittersweet-elixir · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 60519a0c208ea62461d8f088dc2ea8dc1c8d169feb96dfee0aa0940b25c62025
# title: Słodko-gorzki Eliksir
# nav_label: Słodko-gorzki Eliksir
# description: Słodko-gorzki Eliksir (Bittersweet Elixir), mniejsze arkanum: misa z czerwonego drewna, która zamienia lata twego życia w uzdrawiający napój.
PAGE	537
H3	Misa z czerwonego drewna
P	◇◇, <i>magiczna, piękna</i>
P	Szeroka, płytka misa rzeźbiona w kwiaty i ciernistą winorośl, oplatające czaszki jeleni i innych zwierząt. Wzór się zmienia, gdy nie patrzysz; nigdy nie jest dwa razy dokładnie taki sam.
P	Aby odkryć tajemnice misy, musisz…
C	… zaprzyjaźnić się z duchem życia i witalności, który w niej mieszka.
C	… nauczyć się od Fae, jak wlać do misy lata swego życia.
C	… napełnić misę kilkoma latami swego życia.
P	Gdy <b><i>zaznaczasz ostatnie wymaganie i odblokowujesz</i></b> <b><i>to arkanum</i></b>, zaznacz swój obecny wiek na drugiej stronie. Następnie uruchom ruch Słodko-gorzki Eliksir.
H3	Słodko-gorzki Eliksir
P	◇ młodzieńczy, ◇ dojrzały, ◇ podeszły
P	Gdy <b><i>napełniasz misę kilkoma latami swego</i></b> <b><i>życia</i></b>, staje się ona napojem z miodu i żalu.
P	Albo zaznacz następny wiek powyżej (i zaktualizuj wygląd), gdy utracone lata cię doganiają, albo zaznacz jedno z poniższych (twój wybór):
C	Twój nastrój gwałtownie się zmienia (jak?)
C	Widzisz Ostatnie Wrota (jak wyglądają?)
C	Obniż STR, DEX lub CON o 1
C	Zostało ci mniej niż rok życia
P	Gdy ktoś <b><i>wypija cały słodko-gorzki eliksir prosto z misy</i></b>, wybiera 1:
B	Odzyskuje wszystkie HP, usuwa wszystkie osłabienia i leczy wszystkie czynne groźne rany
B	Oczyszcza się ze wszelkiej trucizny/choroby
B	W pełni wraca do zdrowia po trwałym urazie do końca następnej pory roku lub wcześniej
